,refexp
402,vert centre gauche
403,tache de nuage blanc
405,plante la plus pointue à gauche
406,gens
408,terre
409,l'eau
410,ciel
411,la tour
412,le chapeau bleu
413,h 2 o
414,des nuages
415,personne debout
417,le bateau (en bas à gauche)
418,enfant en bas
419,Bonnet blanc
420,ciel
421,immeubles
422,eau de fond
423,skyki
424,femme surplombant l'homme
426,coin supérieur droit
427,fille coin droit
428,fille debout à droite
429,en haut à droite
430,fille à droite
431,visage seul enfant en bas à droite
432,chemise homme bleu
433,les filles se dirigent vers la droite
434,garçon assis par homme en bleu
435,objet bleu vif en bas au milieu
436,mec en bleu
437,dame debout à gauche
438,en haut à gauche
439,le gars du livre est pointé vers
440,gens
441,visage de femme
442,bière au coude
443,boisson jaune à l'extrême gauche
444,l'homme avec le doigt dans l'oreille
445,le visage du gars à droite
447,personne de gauche
448,cours de martini au centre
449,ciel
451,bas
452,des arbres
453,les petits arbres
456,lampadaire gauche
459,statue
460,sol en bas au milieu
463,nuage en haut à gauche
464,collines au bord de la route
465,gens
466,haut du ciel
467,avant de sable seulement
468,paradis
469,mur marron milieu gauche
472,la gauche
473,banc au rt de gauche voiture
476,arbre brun en bas à gauche
477,sommet du centre de l'arbre
478,voiture blanche à droite
480,le buisson sur le côté supérieur droit du banc
481,portail tourbillon blanc en bas au milieu
482,un lampadaire
483,bâtiments blancs
487,arbre vert à l'arrière
488,Dame
490,mur en bois à droite
491,lit
493,les gens du journal sont assis dessus
499,les nuages
501,toute personne
504,montagne à droite
505,ciel bleu
507,huttes
508,personne debout arrière-plan
509,maison
510,des nuages
511,la voiture blanche à droite
512,gazon
513,arbre de droite
514,ciel bleu
516,arbre de gauche
518,ciel
519,rue
520,arbre le plus à droite
521,grand Edifice
522,centre des arbres à neige
523,neige à droite
524,feuilles d'arbres ou feuilles de buisson à gauche
525,arbre
526,l'arbre
527,tronc d'arbre à droite
528,tronc d'arbre
529,bois
530,arbres en bas à droite
531,maison bleue au milieu devant
532,ciel
533,bâtiment en bas au centre
534,groupe coloré de maisons
535,bâtiment bleu vert sur la gauche
537,bâtiment avec toit rouge murs bleus
538,en bas à droite blanc
539,bleu sarcelle gauche
540,l'un des bâtiments rouges jaunes et bleus sur la droite
541,bâtiment bleu au centre
542,bâtiment du milieu toit rouge blanc bleu mur
544,n'importe quelle vache
545,troupeau d'animaux
546,ciel
547,arbres à droite
548,herbe devant
549,n'importe quelle vache
550,cactus devant
551,Dame
552,cactus à droite
553,ciel
554,petit coin d'herbe en bas à droite
555,saleté
556,le bâtiment
557,porte
558,Ciel ouvert
559,arbre rt
560,petit immeuble à droite
561,la maison
562,arbres à gauche
563,en bas à gauche
564,bateau à gauche
565,bâche bleue machin en bas à droite
566,toute personne
567,nuage haut milieu
568,nez de bateau à gauche
569,l'eau
570,radeau gauche
571,kayak avant gauche
572,le radeau sur lequel est la dame
573,le bateau arrière
574,montagne n'importe où
577,chaussée vide en bas à droite
578,bâtiments à l'extérieur
579,plafond
580,personne devant
581,Orange
582,femmes
583,je suis sur mturk aussi mais sommes-nous payés après avoir perdu les deux personnes à droite
584,caisses en bois en bas au centre
586,rochers
587,fond de sable
588,ciel
592,nuage à gauche
593,bâtiment à l'extrême gauche
594,le gros nuage à gauche
596,nuage le plus blanc
597,le plus grand bâtiment
598,route en bas au milieu
599,le clocher
600,bâtiment
601,la route au centre de la photo
602,sable jaune
603,ciel
604,morceaux de terre atteignant la mer
605,péninsule
606,terre s'avançant dans la mer
607,partie de l'île devant
608,eau milieu gauche
609,les gens en rouge et vert
611,personne en noir en bas à droite
612,toit blanc côté droit
613,cabane sur le bord droit
614,ciel
615,toit du bâtiment du milieu
616,deux huttes au milieu
617,homme en veste noire pantalon gris
619,grange à l'extrême gauche
620,coin tout en bas à droite
621,fille
622,avant de la saleté
623,cheval
624,centre équestre
625,cavalier à gauche
626,brosse en bas à droite
627,boire sur la table en bas à gauche
628,itty bitty cocktail au premier plan
629,haut rt
630,gens
631,avant droit
633,bières au fond de la table
634,deuxième verre en bas à gauche
636,verre dans la main de la femme en noir d'abord sur le côté droit
637,boire dans la main de dame en bas à droite
638,les filles en bas à droite boivent
640,boire sur la table la plus proche du gars
641,la table entière
642,poteau vert droit
643,la coupe des filles dans le coin droit
644,arches à l'arrière gauche
647,bouteilles sur bar à droite
648,bouteilles sur le côté gauche de la tête des gars portant une chemise blanche
649,rayures jaunes à l'extrême gauche
650,panneau
651,bouteilles étagère supérieure gauche
652,boit à droite
654,bouteilles sous le signe el catador
655,mur de briques côté gauche milieu
657,groupe de personnes
658,rangée supérieure de bouteilles à gauche
659,sur le côté droit le groupe de trucs sur la barre
660,brique à droite
661,les rayures jaunes à droite
663,animal le plus à gauche
664,à gauche l'eau
665,ciel
666,lama au milieu
667,bas n'importe où
668,nuage
669,gazon
670,colline de terre
671,buisson
672,le sol en bas de l'image au milieu
673,tour du bâtiment à droite
674,coteau en arrière-plan côté gauche
675,drapeau de droite
676,bâtiment de gauche
677,arbres tout à gauche en haut
678,nuage en haut à gauche
679,statue
680,siège en bas
681,allée pavée
682,l'une des herbes du bas
683,ciel
684,le pneu avant
685,la voiture
686,personne
687,sable en bas à droite
688,ciel
689,le groupe de rochers en bas à droite
690,rochers en bas
691,coin en bas tout à droite
692,Le coin inférieur droit
693,coin supérieur gauche
694,rochers en bas à droite
695,cascade
696,personne
697,zone sur le côté droit en bas où les roches sont
698,autobus
699,autobus
700,colonne de gauche
701,autobus
702,pilier le plus proche
703,autobus
704,colonne marron gauche
705,le premier pôle à gauche
706,cinquième colonne en partant de la gauche
707,autobus
708,ciel en haut à droite
709,premier poste
710,clôture
711,quatrième pilier
712,troisième colonne en partant de la gauche
713,des arbres
714,autobus
715,autobus
717,pilier le plus avant - côté gauche
718,imeuble
719,chemin de brique
720,troisième pilier en partant de la gauche
721,branche en bas à gauche
722,la partie bâton vers la droite
723,le journal sur l'écran
724,log à gauche
726,plan chose murale de la gauche après la bûche
727,serpent
728,coller à droite
729,branche la plus à gauche debout
730,Journal
731,branche collée en haut à droite
732,bâton marron à l'extrême gauche
733,bâton va diagnol à droite
734,morceau de bois qui dépasse en diagonale vers la droite
736,tronc d'arbre en bas à gauche
737,stick vertical gauche
738,partie verte droite
739,en bas à gauche
740,Haut
741,l'eau
742,banc
743,coin en bas à droite de la saleté
744,bâtiment le plus à gauche
745,église à gauche
746,plus grand bâtiment
747,ciel
748,église
749,ciel
750,coin inférieur gauche de l'herbe
751,grands verts ovales en bas
752,grand château
753,bâtiment haut
754,grand bâtiment sur la gauche
755,saleté
757,sable en bas à gauche
758,vert
759,truc blanc
760,ciel
761,mec en jaune
762,la troisième personne en partant de la droite
763,moitié inférieure
764,fille en rose
765,Le ciel
766,personne très intermédiaire quatrième à partir de la droite
767,le plus à gauche prsn
768,buisson à gauche
769,deux randonneurs à droite vêtus de jaune
770,troisième homme en noir en partant de la gauche
772,en bas à gauche
773,milieu
774,Le ciel
775,arbre vert sur le bord gauche
776,gazon
778,ciel
779,immeubles
780,lampadaire
781,tresse à droite n'importe
782,ciel
783,la colline à droite
785,gauche petit bâtiment
787,arbre sur irhgt
788,sol de chaque côté des personnes
789,le bâtiment à droite
792,statue centrale
798,veste verte sur la chaise à gauche
800,chaise en bas à gauche
801,veste verte sur chaise
802,pointe de bougie plus proche de la photo
804,l'homme au bout de la table avec le sourire effrayant
806,coin en bas à droite
807,la bouteille qui tient la bougie la plus proche de nous
808,homme au fond avec chemise rouge
809,bougie gauche
810,il y a deux bouteilles brunes rapprochées près de l'homme en olive c'est la bouteille à gauche
812,assiette de nourriture sans surveillance sur la gauche
813,bouteille noire sur la table carrée
814,en bas à droite bleu
816,veste verte sur le dos de la chaise à gauche
817,signe blanc
820,veste verte à gauche
821,table
822,bougie blanche la plus proche
823,manteau bleu en bas à droite
824,le mur de briques
825,salade
826,chose bleue en bas à droite
828,étage intermédiaire inférieur
829,assiette de nourriture en bas à gauche
833,veste bleue sur le dos de la chaise dans le coin inférieur droit
834,mec en chemise grise se retournant
836,l'eau
837,gazon
838,groupe
839,en haut à droite
840,mec par porte d'avion
841,les gens sont partis
842,cône gauche
843,cône orange
844,montagnes
845,avion
846,la personne directement au centre
847,sol en bas à gauche
848,montagne
849,arbre en bas à droite
850,coin inférieur gauche
851,ciel
852,ciel
854,avion
855,chaussée
856,collines brunes
857,homme avant droit
858,chapeau sur mec à l'arrière deuxième à partir de la gauche
859,caméra sur la personne la plus à gauche
860,chapeau à la personne la plus à gauche
861,tout
862,gens
863,chapeau du deuxième homme en partant de la gauche
864,le chapeau d'homme l'homme deuxième en partant de la gauche
865,bâtiment à droite
866,coin inférieur gauche au sol
867,tout en haut de la photo
868,Ouais
869,clôture à droite
870,ciel en haut
871,fenêtre à droite
872,fenêtre pleine supérieure avec 2 panneaux
873,fenêtre en haut à droite
874,n'importe où sur le bâtiment
875,fenêtre en haut à gauche
876,clôture en bas à gauche
880,fenêtre tout en haut à droite
881,fenêtre à moitié hors de l'écran à l'extrême gauche du milieu
882,arbre en haut à droite
883,fenêtre centrale
884,3 fenêtres en haut à droite
885,ciel
886,le bateau
887,cascade
888,bas
889,grande montagne noire à gauche
890,le gros rocher
891,rocher à droite
892,gens
893,ciel
894,roche à droite
895,rocher en bas à gauche en bas
896,Le coin inférieur droit
897,ciel
898,rocher à droite
900,chemise blanche tout à gauche
901,mec en haut à droite
902,les 3 gars dans la tranchée creusent
903,personne tout en bas
904,tout milieu de saleté
905,plantes à droite
906,en haut à gauche
907,gars avec manteau brun en haut de la colline à droite
908,saleté au milieu
909,table de nuit à droite
910,lit
911,la fenêtre de gauche
912,table de chevet gauche
914,mur
915,petit morceau de parquet à droite
916,stand droit
917,femme face à la caméra à l'extrême gauche
918,personne à l'extrême droite
919,cliquez sur le gars à gauche - il a des araignées dans son sac à dos
920,bagage le plus près de la droite
921,le sac verdâtre à gauche au sol
922,Le coin inférieur droit
923,dame en blanc extrême droite
925,la dame au sac à dos pulls rouges
926,sac en bas à gauche
927,porte à droite
928,dame en haut rouge
929,bagage sur chariot vers la droite
931,cet arbre au milieu à côté de la hutte d'herbe
932,en bas à gauche
933,arbre à gauche
934,mince parcelle d'arbres/de verdure sur le bord gauche de l'image
935,arbres à droite
936,ciel blanc
937,bas bas
938,clôture en bas à gauche
940,premier bâtiment plein à gauche
941,chemin en bas à droite
942,herbe tout en bas à gauche
944,table en bas
945,Dame
946,son visage
949,vitre arrière
950,pomme verte
951,fenêtre à droite
952,chose bleue sur la table
953,l'homme au sommet
954,chose que le gars tient
955,visage de dame
956,homme par pneu avant assis
958,ciel
959,mec accroupi à droite
960,un camion
961,gars par pneu avant
962,arbres à gauche
963,mec accroupi à droite
964,homme torse nu près du pneu avant
965,homme torse nu assis o
966,mec droit torse nu
967,sol
968,homme à gauche avec un pantalon bleu
969,mec changeant de pneu sans chemise sur le droit
970,personne à droite
971,personne à droite roue de fixation
972,chaise du bas
973,petite zone du toit en haut à droite - aspect rouille
975,chapeau bleu près de la droite
977,chapeau de fête de gars tenant un gâteau
978,verdure tout en haut à droite
980,chose verte jusqu'à la tête la plus à droite
981,arche de pierre
982,le chapeau que porte la dame au pull bleu et kaki
984,le chapeau sur la femme tout à droite
985,tache grise du mur en bas à droite
986,tout le chemin à gauche ce qui est sur sa tête
988,gâteau
989,bouteillesur le côté droit cliquez sur celui de gauche
990,chapeau de fête bleu à droite
991,le chapeau sur l'homme au dernier rang troisième en partant de la droite
993,chapeau vert sur chose rouge à gauche
994,chapeau sur dame à l'extrême droite
995,groupe de personnes
996,chaise à gauche on la voit à peine
997,ballon rouge à gauche
998,coin supérieur gauche
999,bouteille en bas à droite
1000,chapeau sur le deuxième homme en partant de la gauche
1004,personnes assises
1005,tuile du bas
1006,enfant debout avec les bras écartés
1008,déchets de maille en haut à droite
1010,orange en bas au milieu
1011,coin inférieur gauche
1013,poisson
1015,homme droit
1016,homme à gauche
1017,du sable entre les mecs
1019,palmier
1020,gazon
1021,l'eau
1023,coin supérieur gauche
1024,flottant dans l'eau
1025,des nuages
1026,grand bâtiment
1027,clocher de l'église
1028,pavemen
1029,la tour
1030,le bâtiment
1031,pôle de signe
1032,voiture noire la plus proche de nous
1033,l'arbre sur la partie la plus à droite de l'image
1035,trottoir autour de l'arbre
1036,voiture à gauche
1037,ciel
1038,haut de l'église
1039,bâtiment
1040,arbre à l'avant droit le plus grand
1041,tache verte gauche
1042,noir à droite
1043,noir
1044,centre de la photo
1045,trucs verts à droite
1046,l'un des bâtiments de la ville sur la gauche
1047,ciel
1048,la ville en bas à droite
1049,colline noire à l'extrême droite
1051,noir à droite
1052,première fenêtre
1053,deuxième fenêtre en partant de la gauche
1054,partie blanche du coin supérieur rt
1055,personne de devant
1056,train
1058,neige
1059,troisième fenêtre en partant de la gauche
1060,koala
1061,koala
1062,koala
1063,branche d'arbre en bas à droite
1064,koala
1065,koala
1066,koala
1067,awww koala
1068,visage de l'homme à droite
1069,arbre dans lequel se trouve le koala
1070,eau en bas à droite
1071,ciel
1072,homme très intermédiaire
1074,l'eau
1077,ciel
1078,fond de sac à main
1079,feuillage vert
1080,animal
1081,femme
1083,ciel gauche
1085,fille à l'extrême droite
1087,fille à gauche
1090,très bas
1091,bâtiment à droite
1092,ciel à droite seulement
1093,deux personnes ensemble chemise bleue et noire à gauche
1094,Fontaine
1095,bâtiment d'extrême gauche
1096,filles au milieu
1097,truc de canon
1100,ciel
1101,bâtiment à gauche
1102,pin
1103,n'importe quelle partie de la zone herbeuse
1104,pilier marron à l'extrême droite
1105,animal en haut à droite
1106,le phoque noir à droite
1107,phoque d'extrême gauche
1108,animal à droite sur le rocher en haut
1110,en bas au milieu
1111,animal regardant au centre
1112,rochers
1114,ciel
1115,phoque le plus à droite
1116,haut pic haut centre
1117,cette étrange machine araignée qui est en haut à droite
1118,sol gauche
1119,papier blanc sur le mur
1121,mots sur le mur
1124,petit dessin de maison en haut
1125,jouet lego
1126,vieil homme
1127,photo en haut à gauche
1128,dessin du centre supérieur de la maison
1129,enfant à droite
1130,bureau
1131,photo d'une maison accrochée au mur
1133,enfant à gauche
1134,gens
1135,saleté jaune à droite
1136,mtn
1137,visage de signe vert au milieu
1138,personne tout le chemin à gauche
1139,rochers
1140,ciel
1142,homme à gauche
1143,église
1144,tu avais raison! des 3 devant l'homme à l'extrême droite
1146,l'homme tout devant
1147,chemise jaune personne côté gauche
1148,personne à gauche
1150,chemise jaune pantalon foncé tourné vers le bas à gauche au centre
1151,personne en jaune à droite
1153,personne à gauche devant
1154,milieu de l'arbre
1155,mec qui court au premier plan
1156,personne supérieure jaune
1157,bâtiment jaune à droite
1158,chemise jaune à droite
1160,bâtiment juste à côté du jaune
1161,3 mecs devant le mec à droite
1162,ciel
1163,ciel
1164,voiture blanche à gauche au loin
1165,homme en silhouette
1166,sol en bas à gauche
1168,chemise jaune droite
1169,ciel
1170,en bas à droite
1171,ciel
1172,3 personnes à l'avant-extrême droite
1174,personne
1176,des nuages
1177,coin inférieur gauche au sol
1178,sol
1180,ciel
1181,un camion
1183,pinceau à droite
1184,cheval brun foncé tourné vers l'avant à gauche
1186,le cheval plus sombre qui nous fait face
1187,cheval d'homme à gauche
1188,maison rouge côté droit
1189,homme gauche à cheval
1190,cheval à gauche avec le gars qui le monte
1191,bâtiment de droite
1192,cavalier gauche en noir
1193,maison la plus à droite
1194,âne avant à gauche
1195,le cheval avec un cavalier à gauche
1197,cheval à l'extrême droite
1198,bâtiment à droite
1199,le toit de chaume au centre vers l'arrière
1200,cabane à gauche
1201,premier cheval avec cavalier à gauche
1202,cheval avant gauche
1203,personne à cheval à droite
1204,ciel
1205,cheval milieu p sur le dessus
1206,cheval avant tout
1207,cheval monté face à la caméra
1208,cheval à l'extrême gauche
1209,sol
1210,cabane en arrière-plan au milieu
1211,mec à l'extrême gauche en blanc
1212,bâtiment à droite
1214,âne avant
1216,les trucs dans le sac
1217,paillis d'arbre
1218,cacahuètes seulement
1219,des haricots
1220,mur
1221,ce qu'il y a dans le sac
1222,haricots dans le sac
1223,le bas de l'image
1224,mec au milieu
1225,ciel en haut à gauche
1226,salut ! statue au milieu
1227,en camouflage
1228,zone de regard de la porte côté gauche
1229,fille à droite
1230,Buisson
1233,milieu
1234,un carré d'herbe à gauche
1235,passerelle
1236,ciel
1237,herbe à droite
1238,arbre à droite
1239,arbres à l'extrême gauche
1240,mec pointant la main vers la gauche
1241,demi-corps
1242,la main de l'homme couvrant son visage à gauche
1243,personne de gauche
1244,la main gauche de la femme
1245,centre de la femme
1246,flamant rose sur la gauche à la lutte
1247,flamants roses à droite
1248,l'eau
1249,tout le groupe à droite
1250,arbres en arrière-plan
1251,sable sur lequel ils se tiennent
1252,drapeau
1255,neige à gauche
1258,ciel
1259,gens
1260,ciel
1261,les gens au milieu
1262,fond avant en sable
1263,veste bleue gauche
1264,droite
1265,petite fenêtre deuxième étage
1266,n'importe quelle partie du bâtiment
1268,le buisson aux fleurs jaunes en bas au milieu
1269,planter tout en bas à gauche
1270,fleur de gauche
1271,le pot de fleurs vert en bas à gauche
1272,buisson en bas au milieu
1273,buisson en bas à gauche
1274,chemin vers la porte
1275,rosier à gauche
1276,petite fenêtre à l'étage à droite
1277,buisson au milieu inférieur
1278,fenêtre à droite au premier étage
1279,buissons avant
1280,plante au milieu tout en bas de la photo
1281,fenêtre en haut à droite
1282,les plantes dans le hall à droite
1283,fleurs roses à gauche
1284,petite fenêtre supérieure
1285,zone sombre au bout du chemin
1287,fenêtre étroite sur le mur de gauche
1288,groupe
1289,fond de terre
1290,ciel
1291,avion à gauche
1292,chaîne de montagnes au loin
1293,l'eau
1294,immeubles
1295,ciel
1296,arbres courts à gauche
1297,ciel
1298,l'objet au centre de l'image
1299,bâtiment de droite
1300,grand palmier à droite
1301,feuilles de palmiers à droite
1302,palmier au milieu
1303,coin supérieur droit : arbre
1304,bâtiment avec toutes les fenêtres sur la gauche
1305,zone d'apparence de buisson en bas à droite
1306,sommet de l'arbre partiel
1308,fontaine en bas au milieu
1309,sol qui a des araignées
1310,vieille dame en orange
1311,Fontaine
1312,homme
1313,chemise rouge enfant
1314,personne debout voir beaucoup de chemise blanche
1315,tu es comme la salade de pommes de terre nuages ​​mtg sur la droite
1316,sol en bas à gauche
1317,mec à gauche en noir et jean
1318,ciel à droite
1319,nuages ​​du côté gauche
1320,les gens au milieu
1322,terrain à droite
1323,agenouillée avec les cheveux bruns
1324,personne chemise blanche veste ouverte
1325,guitare
1326,personne du milieu gauche
1327,neige
1328,personne
1329,nuageux
1330,groupe de personnes au centre
1331,sur quoi ils se tiennent
1332,ciel
1333,2 gars proches sur la gauche
1334,zone en bas à droite personne la plus grande en blanc
1335,les gens en bas à droite
1336,mtn
1337,chapeau de garçon le plus proche de nous
1338,personne debout à gauche
1339,cliquez tout en haut de la photo
1340,petite table à l'extrême gauche
1342,horloge
1343,livre blanc sur le bureau
1344,zone jaune près du haut
1345,partie gauche du bureau de l'enfant au chapeau vert en bas à droite
1346,machin vert en bas à droite
1347,support métallique à l'extrême gauche à mi-chemin près de l'homme en chemise noire
1349,Le gars de bureau en noir à l'arrière gauche s'appuie sur
1350,toute personne
1351,bureau par livre blanc
1353,fenêtre sur rt
1354,tableau noir
1355,coin inférieur gauche
1356,mur de briques en haut à gauche de la femme
1357,toute personne
1359,gens
1361,devant de plancher
1362,cliquez en haut à droite
1363,Colonnes
1364,à gauche
1366,chapeau blanc sur les bagages
1368,des nuages
1369,l'eau
1370,rocher en bas à gauche
1371,rocher devant
1372,des buissons
1374,masse terrestre en arrière-plan
1375,homme
1377,tache de blanc en haut à gauche
1378,l'eau
1379,n'importe quelle partie du toit
1380,arbre à gauche au loin
1381,ciel
1382,barres de clôture
1383,arbres à droite
1386,personne
1389,mur du deuxième étage
1390,la photo à droite
1391,plantes à gauche
1392,colonne en haut à droite
1393,arbre du bas
1395,pilier du deuxième étage à droite
1397,pilier en haut à droite
