	refexp
212	board
213	table
214	table
215	paper on the corner of the table closer tot he middle
216	table only
217	table
218	paper on top right corner of desk
219	sheet with phone on it
221	table
222	table
223	wall
225	white paper edge of desk
226	cell phone on top
228	misc stuff in shelf on very top
229	paper on wall center
230	the magazine in the guys hands
231	woman
232	white paper hanging on wall at center back
235	wooden post
237	window top right
238	lower left corner
240	man
241	calendar on wall
242	hammock
243	top green
244	two people on left
245	any of the people in the sign at the top  they are looking at spiders
247	okay so there is a man on the right squatting  click his sack of spiders
249	trees back left
250	sand
252	right backpack ground
253	grass on the left
254	the thing held by sitting man on right
255	top right corner 
256	three people
258	white thing with the sitting man on right
259	person left
260	sign
261	patch of leaves at top right
262	peeps
263	left guy
264	man
265	man
267	man 
268	couch far right
269	man
270	curtain
271	woman
272	man
273	bottom right
274	top right corner
275	car
277	big mama right
278	floor
279	middle girl face
280	face right woman
281	lady center
282	door on left
283	click grandma on lefts face
284	left grandma
286	face middle person
287	left briks
289	ground
290	gray sweater lady
291	woman in white shirt
292	sky
295	road 
296	wall on right
297	sidewalk
298	trees
299	sidewalk
300	walkway
301	road only
302	road
303	bike
304	wheels
305	bike
306	bushes
307	wheels on the bike
308	sky
309	bike wheels
310	bike wheels
311	bike
312	biker
313	gravel bottom
314	gridded window bottom left
315	top right window w green t rim
316	brown shuttered window middle left
319	bottom right window
320	hotel rodulu red words on white sign
321	very top left corner sky
323	top right sorry
324	top left golden window
325	the sky top left corner- very small section of pic
326	left building
328	windows middle building left one
329	hotel rodelu
330	building on the far right
331	supe
332	2nd floor right window
333	window on top of door hotel sign
334	right super sign
335	upper left
336	girl right second row
337	glasses guy way in back rght
338	dat hand
339	left person
340	red hair
342	window far right
343	lady in red vest
344	island on left
346	the little pokey uppy things in the foreground
347	island on left
348	water
349	hill in lake on left
350	sky
351	island
352	left side land floating
354	body on far right
357	wall
358	skeleton in the middle with dark/light brown robe
359	skull white bottom left
361	window in the middle far right
364	middle
365	car botoom left corner
367	right car
368	red car left
369	person walking
370	water on right
371	very top left water
372	city top
374	red around the lake
375	building in forground
376	boat left
377	sky
378	hillside on the left
379	people
380	the water
381	grass
382	sky
383	green bottom rt
384	mountain
385	middle girl
386	person on left
387	girl in middle
388	girl on the far right
389	girl holding plate
390	wall
391	girl in middle
392	chick middle
393	woman bending over on back left 
394	sorry :/ guy standing right
395	guy sitting in pool by woman
398	girl bending over in water
399	left most person
400	top right green
401	leftmost chick
402	left guy on the higher area
403	the ledge the 2 men and one woman is on
404	girl at bottom 
405	white water
406	swimmer all the way on the right
407	person stretching to the left
408	cliff bank on bottom sid
409	water on the left half
410	top left trees
411	face of man on right
412	the thing in the right crook of camera guys arm
413	man on right edge
414	man in checks on right
418	guys face on right
420	person on right
421	person that is half off the picture on left
423	pink
424	sky
426	mans face far right
427	rock middle
428	guy all the way on right
429	face far right
430	rightmost person
431	second from left face
432	egg thingy on top of the towel
433	mans face on right
434	2nd face from the right
435	person camera back pack blonde hair
436	black camera
438	glasess nearly touching
440	sunglasses on head
441	ladies face on left
442	boy most right
444	sky
445	bottom
447	mountain
448	bottom
449	bed
451	leaves left side light green color
453	bench on the right side of green shirt brodie
454	people sitting back of center yellow guy
457	person in the very back with leg bent looking towards camera
458	sky
460	far left bench
461	sky right
463	guy in the middle sitting on the bench
464	corner of bottom right
467	bald due
468	guy back right pink-red shirt
470	trees upper right side
471	sand
473	water
474	sand front
476	the man in front
477	sky
478	sand
479	bottom
480	the dude in the middle
481	the beach at the bottom
482	top
483	table
484	person
485	plate
486	boulders
487	grass middle right
488	sky
489	montan
490	mountains
491	red rocks backfround
492	red mountains center
493	sky upper left
494	in white*
495	guy lower right
496	trees 
497	grass
498	sky
499	trees right
500	water
501	trees on left
502	sky
503	sail
504	top of the image
505	water
507	snowy mountains
509	very top sky thin layer
510	whatever that is in the water at the very bottom
511	sky at very top
512	trees big foot is  hiding in
513	person holding bag
514	sky
515	statue
516	white shorts lady
517	girl in white shorts
518	person in white shorts on left
519	guy in white bottom right
520	man on left taking pics
521	red skirt
522	water
523	the australian opera house thing
524	sky
525	center window
526	people
527	red bricks in front
528	grass
530	top right corner
531	stairs
533	what forum guy
536	cloud at top left
538	mountain 
539	blue sky
540	trees
541	blacktop
542	motorcycle
545	the mountain to the left
546	sky
547	water :)
548	sky
549	snowy mountain
550	snow
551	very bottom right 
552	middle bottom window
553	three windows on far left
554	any part of house
555	bottom left window
556	tall bushes
557	window
558	the third window from the left all the way too the bottom 
559	top left window
560	the house
561	sky middle top
562	middle top window
563	persons face with rainbow scarf thing
564	mountain far back
565	snow in front
567	white stuff in middle
568	sky
569	cow painting on wall
570	bottom right
572	r\far right chair
573	anywhere on table
574	table
578	wall
579	table
580	table
581	fireplace
582	table
583	people
584	table
585	upper left dark cropping
586	top ceiling
587	chair bottom right person is sitting on
589	any of the plates on the table
590	char back woman in blue
591	back of the chair the close lady in white is sitting in
592	wall
593	window
594	curtain
595	left bed
596	floor
597	lamp right side
599	left lamp head small
600	click on the lady in the black shirt and blue jeans
601	second from left
602	people on right side
603	man on left
604	pasty white guy in shorts and sweater
605	cloth to the left gray and white
606	house on right
607	umbrella right
608	right tiki tree top
609	small green tree area on the left
610	yep
612	woman
613	sky
614	hut doorway  right side 
615	face
616	center building
617	sky
618	palm tree on left
619	the grey concrete in the very foreground
620	right tree
621	tree on right
623	big rock
624	sky
625	man
626	cliffs in the sun on left
627	water in middle front
628	the sky
629	ocean bottom
630	left shrubs on cliff
631	backpacks in foreground
632	center mountain peak
634	any person
636	left to people
637	ground
639	water
640	water center of picture
641	water
642	water center
643	far bottom left corner
644	body of water
645	center of water
646	water middle
647	sky
648	lake
649	trees around water
650	hills in the back
651	bottom left
653	person
655	water center
659	ocean
660	water
661	water
662	water
663	stacked rocks right side
664	water
666	yellow wall
667	tan wall
668	lamp top rt
669	wall
670	water
671	tan wall on left
672	wood ceiling
674	yellowish wall left side
675	seat past white seat
676	yellow wall left
677	wall of building
678	floor
679	palm 
680	short long wall
681	chair left side
684	gold brown colored car
685	bare tree
686	snow
688	white truck
689	white car bottom right
690	left side third way u[
691	street
692	tree
693	steeple
694	tree left
695	sky
696	blue car
697	red car
698	the giant penis like white thing
699	good enough
700	water
701	raft
702	river
703	sorry! green trees
704	water
705	water
706	water
707	group of people in boat
708	rocks
709	black rock on right
710	water anywhere
711	river
712	raft guide ( guy on back of raft)
713	ruins
714	grass bottom left
715	top right corner
716	girl in red pants standing
719	orange clouds
720	upper left corner
721	tree
722	left animal
723	mid horse
724	gap of blue sky
725	clouds
726	(mom) also it's the horse in the middle
727	horse far left
728	grass
729	man on right
731	second leftmost person
732	first person on left
733	van
734	man in blue
736	water
737	bikes on top of van
739	two guy near van
740	bikes on top of van
742	sky
743	grassy area far right beside van
744	the middle left back mountain
745	bottom
747	girl on left
748	sky
749	girl's face on left
751	rock to the left
752	girl right
753	person in background on left
754	face on right
756	persons head wearing the blue and yellow sweater
757	any person
758	standing adult
760	mountain
761	sky
762	right front building
763	the leaves on the tree on the left
764	the colored box things
765	crane
766	big white ship
767	white boat
768	white ship
769	the ship in the middle white
770	closest ship white
771	front boat
772	upper boat
773	big white boat anywhere on it
774	water
775	white ship
776	city
777	long white boat with pointy thing on right side
778	main boat in center
779	giant white boat
780	tri rock near people
781	the wispy branches in the bottom left
782	trees
783	stream
784	water
785	netting
786	water
787	sky
788	snow capped mountain
790	water
791	water middle
793	water
794	far right bottom corner
795	trees in background
796	bushes bottom left
797	tile on the bottom
798	steps
799	tree at the top of picture
800	trees
801	middle tree leaves
802	closest chair
803	trees middle
804	top half trees
806	the sign
808	mountain in the background hard to see
809	1649 numbers
810	sidewalk bottom right
811	gray rock beside the brown one on the bottom right
812	sky
813	sky
814	left boat
815	bottom boat
816	boat full of men
817	boat 1649
819	boat with people
821	one of 2 people in the first boat
822	boat - left parked
823	right boat
825	how are you  water
826	blue boat in water left
827	group of people nearest bottom right
828	red thing hanging off ceiling // farthest one / leftmost
829	bars bottom center
831	light fixture in upper left
832	people right
833	bottom left bench
834	right column
835	floor
836	cant say yes/no just gotta guess
837	people bottom rightish
839	silver light hanging on the left
840	group of people on right
841	hanging light top left
842	girls at lower right table
843	top white glare sky
844	red lamp on right
846	front chair barely visible
848	table with bowl
849	grp of people left
850	ashtray
851	top left light fixture
852	bright white light center/top right
853	cluster of people on the right
854	tree left
855	left tree
856	ground at botoom of pic
857	tree on right
858	left tree
859	middle tree
860	sky top left corner
861	tree on right
862	tree left
863	tree farthest left
864	tree left
865	tree right edge of frame
866	right tree
868	any person
869	person far rt
870	person in red shirt in senter of picture
871	the sky
872	left person
874	2nd from left lady black shirt
875	left orange window
876	drape
877	window outside
878	white step thingy by bed
879	bed
880	left yellow window
881	window with rails
882	window on left
883	gold window on the left
885	left yellow window
886	window to the left
887	window farthest right that is gold
888	the barred window
889	left yellow window
890	window
891	anywhere on the wall to the right side of the curtain
892	bottom window second from left
893	sky top right
894	4th window on lower level 2nd to the last
895	top left window
896	the second window from the right on the bottom
897	bottom windows 2nd from left
898	bottom center window  2nd brown from left
899	2nd window at the top
900	3rd window from right bottom row
901	first full window on the left
902	second window on the bottom from the left
903	window top floor second from right
904	building
905	bottom window far right
906	top middle window
907	bottom left corner
908	stream
909	waterfall
910	sky
911	very top middle
912	ocean
913	ground left
914	rock shes standing on
915	face
917	blue jacket
919	rock wall on middle left
920	top right corner
921	person on right (sorry last image was broken)
922	stone wall far left
923	left gray stuff 
924	tree left
925	billiards table
926	stone wall far left near girl blue jacket
928	floor
929	grass in sun to left
931	clouds
932	table top
933	picnic table
934	picnic table
935	picnic table
936	picnic table
937	bench
938	grass right
939	table
940	picnic table
941	the area beyond the village the top
942	steps in foreground
943	man in red shirt's left hand
944	woman's face
945	the girl
946	man
947	girls face only
948	guy in cool spider glasses
949	guy face
951	white thing center bottom
952	water bottle near girl
953	bread in package
954	plate thing guy is reaching for
955	bread on the right
956	pineapple green
957	object the man in the grey is reaching for
958	parts of table without stuff on it
960	right bottle in the row of three bottles
961	man in dark blue shirt near center his plate
962	blue pepsi bottle
965	trees
966	water bottle short sleeve girl
967	first bottle on right
968	the people
972	the bottle of water in the back on the left
975	ocean
977	sky lol
978	girl
979	girl
980	people
981	either grass patch
982	pavemetn
983	trees on left
985	monuments in middle
986	left hill
987	thing with the e
988	very sky
989	the e
991	hills in the back
992	mtg rulez!!! rock at the bottom center
993	the line of stones on the lower left
994	sky 
995	bottom right corner
996	ppl on left
997	2 groups of people on the right side
998	bottom of white pole on far right
999	the building thing
1000	tablestand hatstand thing on bottom left
1001	chair
1002	hat in man's lap
1003	hat on the ground
1004	white shirt
1005	little boy left
1006	whatever is hanging on the left top
1007	hat on left on wood thing
1008	plate bottom right
1009	1st plate of food on left
1010	you can see the tip touching bottome of window
1011	window
1012	middle person on the right
1013	guy on left in glasses
1014	2nd bottle from top
1016	guy on the far left in glasses
1017	back left face
1018	bottom left corner
1019	plate of bread left side
1020	mickey
1022	glass with wine on the right
1023	center person in back
1024	clear bottle on bottom middle
1025	person on bottom left
1026	half full glass very bottom center
1027	man front left with glasses
1028	the one and only man looking directly at you
1029	top right corner
1030	yellow picture at top edge
1032	guy in front on left
1033	upper left corner
1037	bottom right corner
1039	clouds
1040	water lower left
1041	grass on bottom of image
1042	black llamma
1043	sky middle
1044	multi color lllama alpaca thingie
1045	fat man looking at camera bottom
1046	guy in front middle facing camera
1047	guy in center in sleeveless white
1048	black person
1049	black guy in middle
1050	red part of wall
1051	guy in white t shirt facing away on left
1052	white tank top/ black pants 
1053	front left guy in red
1054	bottom left red drum
1055	the golden drum in the bald guys hands at the bottom of pic
1056	people in the background 1st level
1057	white t-shirt lower left looking back
1058	black man front center
1059	guy blue shirt drum
1060	upper left corner
1061	black guy in white tank in center
1062	drummer in red front left
1063	guy on bottom gray shirt bald spot on head
1064	sky
1065	road
1066	red shorts white tshirt kapow!
1070	right person
1071	the womans face in the center
1072	left face
1073	clear drinking glass
1074	man face
1075	top left corner
1076	man (rt) with black top
1077	middle car
1078	left left car 
1080	red car middle
1081	car in front
1082	jeep
1083	red car in the center
1084	bottom
1085	llama in front
1086	big one in front
1087	grass on bottom
1088	animal
1089	animal in back second from right
1092	llama
1093	animal in the back right by the closest animals head
1094	wow! llama
1095	lllaaaaaamaaaaaaaa
1096	animal in the front 
1097	i mean his right arm
1098	sky
1099	mountain in water left side
1103	patch of land to the left aligns with guy's shoulder
1105	water right side of guys butt
1106	guy
1107	small green patch left corner
1108	man
1110	bottom left
1111	is she hugging the thing sky
1112	tallest catus
1113	shrub
1114	bottom left corner
1115	sky
1116	top of rock formations
1117	sky lol
1118	water on right middle
1119	water on very right
1120	sky
1121	3rd tree from left
1122	tree in water
1123	the grass in the foreground
1125	bushes on the right
1126	tall grass left
1127	fridge
1128	wall bottom right
1129	fridge
1130	the pot with the greenish-white vegetables
1131	fridge
1132	woman
1133	guy in the blue shirt
1135	the mountain tops or maybe thoseare clouds
1136	mountains
1137	top sky
1138	rt road
1139	trees right
1140	patch of concrete al the way on left
1141	shorter building
1142	leftmost building
1143	sky
1144	rocks right
1145	bottom left
1146	the rock in the middle
1148	rock on lower right
1149	mountain range in back 
1151	rock group furthest left
1152	large rock formation in middle
1153	the sidewalk towards the bottom
1154	palm tree inside frame
1155	rt sky
1156	sand 
1157	grass on left side
1158	sky
1159	person far right
1160	hill far right
1162	man on the left
1163	middle woman red jacket in arms
1165	man on right
1166	2nd to left person
1167	farthest left pillar
1169	left pole
1171	pot near post extreme right
1172	white facade
1173	left most pillar
1174	furthest plant holder on the right 
1175	fourth pot from the right
1176	green fence
1177	pot only light one toward middle 
1178	plants pot on far right
1180	red pot on left
1181	plants on far right
1182	pot on baclony far right
1183	middle top column
1184	column on the left
1185	right most pot for plant
1186	plant pot far right side of balcony
1187	right pole
1189	pot all the way on the right
1190	pot on right edge
1191	plant left
1192	the plant on the right
1193	the 4th flower pot from the right
1194	left pole
1196	top anywhere
1197	pot that is farthest right near edge of screen
1199	guy in back in white
1200	black area on right
1201	sky
1202	four people on the left
1203	group of people on the right
1204	railing
1205	green floor
1206	tops of hills
1208	lighy blue foot bag
1209	grey door on the left
1211	roof of tallest building
1212	mountain
1213	tree right side
1214	four window in a row on the right 2nd floor
1215	window farest right
1218	windowpanes on light blue house on left
1219	second roof from right (higher than the far right)
1221	the bottom windows of the green house
1222	lowest rooftop on the left
1224	left bottom car
1225	yellow car
1226	third rooftop (brown windowed building)
1227	highest roof
1228	highest roof center
1229	yellow car
1230	yellow car
1231	buildings
1232	top most roofs
1233	any care but the lef tone
1234	green building roof
1235	yellow car
1236	second story windows of green building
1237	yellow car
1238	yellow car
1239	 first set of two windows far left side
1240	window
1241	wall
1242	bed
1243	floor lit by sun at foot of bed
1244	curtain
1245	pink flowers
1249	girl in blue
1250	house right
1251	animal
1252	low wall on left
1254	walkway far right corner
1255	upper sky
1256	bottom
1257	boat
1258	person in water
1259	people
1260	any of the two girls closest to chalkboard on left
1262	blue book on table
1264	tiny staring head front
1265	pink hat blue shirt bottom middle
1266	blue paper in desk
1268	face of kid looking at camera
1269	right window
1270	blue book on table
1273	bright doorway
1274	people standing at chalkboard any of them
1276	man standing jeans and black tshirt
1277	book by student with pink hat
1278	green hat far right
1279	girl in bottom left corner with purple shirt and white headband
1280	rocks right side
1281	sky left
1282	the green sign in the right corner
1283	 sign
1284	map
1285	middle area very left
1288	board map in beach
1289	board
1290	that board
1291	sign
1292	pick a bro
1293	wooden roof
1295	blank blue wall upper left
1296	big dick window
1297	kid in front
1298	windows
1299	right sky
1300	portion of floor lower left
1301	window
1302	window
1303	window 
1304	guy left white shirt
1305	very very bottom right corner
1306	center person
1307	buildings on left
1308	man on the left white shirt
1309	sign with blue lettering on left
1310	black sign on right building
1311	road bottom front
1312	building right
1314	man to left wearing cream shirt
1315	blue/purple middle building
1316	group of people on right (w/ orange shirt guy)
1317	sky
1318	people on bike left
1319	trees bottom left
1320	lake
1321	house
1322	light green area towards bottom has tiny trees lined on it
1323	tiny part of sky upper right
1324	green trees and forest on the right
1325	mountains
1326	clouds
1327	road
1328	grassy area bottom middle
1329	bush on the right
1331	ground
1332	mtn
1333	bush on right
1334	any 1
1336	green mountain
1337	what shes holding
1338	wooden thing far right 
1339	woman
1340	straw surrounding woman
1341	blue fence on left side
1342	ladder
1343	hat
1344	sky
1346	the field
1347	top right
1348	rock
1349	the seal
1351	blue shirt on left
1352	roof
1353	itty bityt tiny glasses on bar
1355	person right
1357	bottle in center
1358	table
1359	tellest plant nearest the center
1360	lower right corner of pictures - brushes
1361	closest big plant to the left
1362	ground in front
1363	ground
1364	any of the people
1365	sky w/o clouds
1366	hut on left
1367	clouds on left
1368	hut to the right
1370	mountain range
1371	middle tp
1373	bed on right
1374	walls
1375	thing on nightstand
1376	picture
1377	lights
1378	bed on left
1379	chair bottom right
1380	floor
1381	ground
1382	van
1384	trail area at bottom of picture
1386	people
1387	road
1388	sky
1389	biker
1390	car
1391	bottom left on tile
1392	you wanna buy some girl scout cookies
1394	right cap
1395	the door all the way in the back
1396	ceiling
1397	sombrello
1398	cap
1399	black hat of the man with black glass in the back
1400	hat on right
1401	the empty white part of the seat on the left
1402	blue hat on right
1404	the wood on the bottom on the left
1405	baseball cap
1406	anyone of the group of people
1407	big hat to left
1408	blue hat on guy in bottom right
1410	the bag on the left
1411	table
1413	hut
1414	left side middle small pile
1415	hat
1417	top right corner
1418	green
1419	cobbled road
1420	persons body
1421	ground in front
1422	sky top middle
1424	tree on right
1425	kids
1426	wall white
1428	light brown cabinet
1429	box thing on the left edge
1430	toy bottom right corner
1431	over women on the left heads
1433	the lady with glasses white shirt right
1434	the curb to the left
1435	right portion of the image anywhere
1436	face of whit sirt
1438	people on right blue pants
1439	lady face only prple shirt
1441	blue shirt and skirt
1442	road on bottom left 
1443	purple shirt
1444	girl with hat to the right
1445	kid in green
1446	people
1447	sky
1448	statue
1449	sky
1450	sky
1451	car 
1452	blue mountain
1453	bottom sand
1454	person 2nd to right
1455	person far right
1456	man third from right
1457	guy with his back to us standing third from right
1461	all of bottom
1462	"the yellow ""castle"""
1464	white horse second from left
1465	person on the second horse (starting left)
1466	(that was his left shoulder) horse on right
1467	the way back left horse
1468	most far left man on horse
1469	third person from front
1470	brown horse in front
1471	man in light blue shirt
1472	the brown house in the far background
1474	brown horse
1475	left brown horse in back
1476	trees left
1477	man in white horse in front
1478	dirt
1479	sky
1480	white horse in way back most left
1481	right building
1482	horse right
1483	2nd horse from the left
1484	horse in front on left
1486	light blue area right
1488	students
1489	chalkboard right side
1491	window
1492	the ceiling
1493	kid in right corner
1495	wall
1496	stacked boxes by the board in the back rightish
1498	desk of boy in front
1500	seal on right with head up
1501	seal with head up nest to rock high left
1502	seal facing us straight on 
1503	ground rt of person
1504	top right
1505	rocky mountain
1506	backpack on top of man in black's foot
1507	people
1508	curtain left side
1509	stting woman
1510	person sitting
1511	man
1512	white table
1513	the lady
1514	woman
1515	woman
1516	girl
1517	person
1521	bottom right corner anywhere
1522	bus on left
1523	sky
1524	streetlight on right skyish
1525	sidewalk
1527	the building
1528	car
1529	trees middle
1530	right building
1531	left road
1532	small white car on left closest to foreground
1533	sky top left
1534	bottom right corner
1535	white cloud by sign
1536	blue vehicle
1538	guys hat
1539	man
1540	trees
1541	hat
1542	ground at bottom
1543	left bed
1544	lamp
1545	curtain
1546	tiles
1548	opening
1549	door top right corner
1550	bed nearest window
1551	wall left
1554	screen frooze
1555	big standing rock
1558	most top right
1559	ground
1561	man to far right edge of pic
1563	pink shirt on wall
1564	blacks hirt on wall
1565	bench seating on the left
1566	arrow left
1567	pink shirt on wall
1568	pink shirt on wall
1569	sorry i derped on that girl click the lady in white's face plox
1570	left chair
1571	pink shirt on the wall
1572	black stairs
1573	pink filthy shirt on wall
1575	people on right lady in white for one
1576	green coat
1577	upper middle black and white flyer sheet
1578	pic top left
1579	green shirt on chair back front
1580	group of people on left
1581	table
1583	luggage cart on left
1584	the ground
1585	stairs
1586	sky
1587	plane
1588	mountain
1589	man on left bottom
1591	lwft of wing
1592	bottom right person
1594	big rock right corner
1595	entire picture
1596	rock top left
1597	large rock top right
1598	heart shaped rock
1599	anywhere
1600	light grey rock close to the left side big third rock up
1601	road
1602	dark purple/gray of sky
1603	bottom right
1604	sun
1605	dusk
1606	road
1607	grass on left side of road
1608	upper right corner
1609	woman
1610	hill on right side
1611	let's keep it goin! ground on right
1612	her eyes
1613	woman
1615	sky
1618	dirt bottom
1619	person
1620	left!
1621	donkey
1622	top hill
1623	rock left
1624	man 
1626	right rock
1627	water
1628	island
1629	top sky
1630	the white wall
1631	white wall
1632	blue part of bed
1633	wall
1634	floor lower right
1635	wall
1636	rounded lamp thing far left in pic
1637	white wall
1638	falls
1639	bottom left
1640	sky
1641	patch of green
1642	rock on the top left
1643	top of the mountains
1644	middle sky
1645	upper part of sky
1647	portion of concrete far left
1648	kid front
1649	cross
1650	grass front
1651	light color tree beneath dark one far right
1653	fountain
1654	sky
1656	tree in top right corner
1657	fountain
1658	lower right arch
1659	bottom right corner
1662	dark green tree in the middle
1663	black hat
1664	girl with blue shirt
1665	blue checkered shirt
1666	girl in blue
1667	people
1668	trees in background
1669	blue checker shirt chick
1670	lady in checkered shirt
1671	water on right
1672	girl blue shirt
1673	water on left
1674	girl in blue
1675	top right
1676	main pathway
1678	shrubs on right edge of picture
1679	the sheep on the left
1680	church\
1681	in the centerpatch of blue sky in the middle
1682	cliffs on the left
1683	rock on right
1684	rock on top rleft
1685	more sky
1686	mtn cluster on left excluding biggest pointy one
1687	top left rocks
1689	upper left mountain
1690	bottom of picture
1691	mountain
1692	sky
1693	building windows
1695	llama
1696	building
1697	car
1698	sky
1699	white car
1700	all the way in the bottom left corner
1701	car
1702	car
1703	car
1704	building 
1705	building
1706	cathedral
1707	main building
1708	big building
1709	big building
1710	sky
1711	ground on bottom of picture
1712	sky
1713	blue part of sky
1714	topmost sky
1715	sky blue part
1716	ground
1717	cloud directly over mountains
1718	top sky
1719	sky top
1720	sky
1721	any people
1723	picture
1724	green stuff in left window (bottom bright!)
1725	far left/middle white
1726	bed
1728	the curtains
1729	left window
1730	floor on the left
1731	upper left corner
1732	grass left side
1733	louvered glass
1734	guy on right
1735	orange wall
1736	desk drawers
1737	tree
1738	top right
1739	man's hat on left
1740	clear thing on desk beneath blue shirt elbow
1741	red bag
1742	top beam of light
1745	dude on left
1746	the people
1747	water leftmost
1749	mouontain
1750	red cart
1753	whole top half
1754	man and yellow shirt
1755	group of people far right
1756	table center
1757	cup woman in white has
1758	drink most right
1759	people
1760	white shirt
1762	cup on right
1763	glass of the chic to the far right
1764	glass front girl
1765	cup on right girl
1766	drink far right
1767	drink glass held by woman on lower right
1768	right womans drink
1769	the non-grassy area
1770	man grey shirt
1772	shirt guy on left is holding up
1773	top right corner
1774	yellow building
1775	street bottom 
1777	sky
1778	water falls left
1780	right waterfall
1781	green tree to the left ontop water fall
1782	bottom right corner
1783	very top of sky
1785	court
1786	sky
1787	court
1788	green field
1789	court
1790	court
1791	ground on court
1793	baby croc thing
1794	area over guys head
1795	the man
1796	backpack
1797	hand nearest you
1798	ground
1799	the sky
1800	darker rock left side
1801	any people
1802	only rt shrub
1803	sky
1804	grassy hill
1805	the white patch of water on the right/middle
1806	buildings
1807	bottom right corner
1809	left side edge in the middle
1810	last tree on the left
1811	dark green trees all the way at the right
1812	very distant mountains
1813	sky
1814	the city area
1815	trees in the middle
1816	right window
1817	bottom right corner greenbook 
1818	bottom right corner
1819	window top left
1821	ppl
1822	yellow portion of the wall any
1823	green book lowest right
1824	lower right corner green book
1825	white hat
1826	books
1827	the white hat
1828	seat by girl in blue shirt
1829	green table
1830	bottom right corner
1831	top left sky
1832	boat on left
1833	any 1
1834	rock mid water
1835	clouds
1836	water
1837	the skkkkyy
1838	pool people
1839	water
1840	mountain on the left
1841	man
1842	tree line
1843	sand on bottom left hand corner
1844	island
1845	water
1846	sky
1847	the bottle in the bottom middle yellow label
1849	first bottle on left second row from top
1850	bottle near center red cap white shirt lady
1851	white capped bottle second to back row
1852	purple bottle bottom left
1853	bottle front bottom right
1854	second bottle second top row
1855	second row from top bottle on right with girl face on it
1856	bsx bottle front row
1857	k-1 on left bottom
1858	bottle on the bottom row first full bottle on the left
1859	k-13
1860	on the bottom bottle that says bsx in the middle
1861	red bottle of liquid with white top and blue label
1862	bottle lower left corner
1863	tree center right
1865	top right white building
1866	small blue car on bottomright
1867	cuilding top right
1868	top building complete to the right
1869	small green grass patch on right top side
1870	top center
1871	far right tree
1872	top white building right
1874	building almost dead center of picture
1875	blue car in front 
1877	tiny person by bushes left
1879	blue car on right
1880	car right blue
1883	tree top second from right
1884	white building near bottom right
1885	bush lower left
1886	white square arch left
1887	the building in the back on top
