	refexp
197	two lights on ceiling middle
198	first tree
199	palm tree in center far
200	the lights on right top
201	picture hanging from the raiing on the left
202	first palm tree
204	the farthest tree should be third back
205	front palm tree
206	lights in center of ceiling
207	bright rectangle sign bottom
208	tall tree closet to us
209	flag on right
210	two people right side of middle tree at the bottom
212	first full palm tree
214	people on the left center man in orange
215	tree closest to the camera
216	group of people on the left on the second floor
218	the line of 4 lights on ceiling
219	poster to the far leftall the way left look close
220	tall tree front
221	brown bench near rear of van (brown)
222	left water
223	white van 
224	van
225	bushes to the right
228	tree on the right 
229	it holds a lot of people
230	yellow boat raft
231	van
232	go to the middle
234	right corner
236	grassy area bottom of pic
237	van
238	white van
239	white van
240	white van
241	left wooden basket thing
244	on right
245	ground
246	sky
247	plane
248	front tire closest to us
249	flag right
250	left tower like structure
251	third flag to the left
252	flag far right
253	sky
254	green flag
255	white parts
256	grass
257	right flag
258	third flag
259	rightmost flag
260	flag on far right
261	white flag closest to the righthand side
263	rock
264	sky
265	big cloud
266	people
267	brown shirt guy on right
268	guy light green shirt on the right
269	person leaning on fence in blue jeans
270	green shirt guy
271	tree
272	foreground brown
273	woman on the left
274	guy in brown on right
275	green grass right
276	sky very bottm part of clear sky
277	land bottom half
278	tree far left
279	the left most guy
280	man on rt nearest truck
281	truck
282	2nd man to right
283	guy in blue jeans on right
284	wall
286	group of people
288	sky
289	sky
290	the car red part only
292	truck
293	high tree in the left
294	lights on the left
296	lamps on the right
297	couple
298	front bottom of the people
299	fountain
300	the black sky
301	bldg
302	chair by flowers
303	chari bottom left 
306	chairs on right
307	floor bottom right
309	flower in left middle
311	top right chandelier
312	window
314	the chair of the woman in light blue
316	thing on table with black lid
318	right most wicker chair
319	third wicker chair on the right
320	chair that the guy in blue t-shirt is sitting on
321	guy in brown on right
322	barred window on the left wall
323	top of table
324	chair right one near wall
325	dark area on the top of the picture in the middle 
326	green bush in top left corner
327	table on left
328	chair back right one
331	doorway right
332	brick area on the right edge
333	chair middle yellow shirt
334	chair back left guy in yllow shirt
335	yellow wall
336	third chair from right with man in yellow 
338	far left
339	chair yellow shirt
340	pot with flowers front edge of photo
341	the tiny plate the girl w/ red shirt is holding
342	empty chair in middle
346	chair center with man in beige sitting
348	yellow shirted guy's chair
349	plant base left 
350	chair pushed all the way in on right other side of table
351	rightmost circular empty chair
352	empty circular chair on right
353	people
355	but the outline squiggled it
357	people let
358	group of people on right
359	looks like florida
360	text on sign
361	sky
362	left patch of grass closest to road
363	roof
365	any of the road
366	trees
367	bird on left
368	bird on left
369	one on the right
372	sky
374	trees on right
376	statue
377	middle
378	ground bottom
379	grass on left
380	fourth building from the right
381	no the left
382	sky
383	left house 
384	shack second from right
386	leftmost hut
388	triangle thing on the left
389	water
390	leftmost building
391	hut farthest left
392	house on far right
393	middle left hut
394	green plant bottom right
395	mountain way back there
396	white bush on left
397	sky
399	shrub top left middle
400	yellow sign
401	bottom left
402	green center left
403	patch of white cloud
405	left most pointy plant
406	people
408	land
409	water
410	sky
411	tower
412	the blue hat
413	h 2 o
414	clouds
415	person standing up
417	the boat (bottom left corner)
418	child at bottom
419	white cap
420	sky
421	buildings
422	bottom water
423	skyki
424	woman overlooking man
426	upper right corner
427	girl right corner
428	girl standing on right
429	top right
430	girl on right
431	face only kid lower right
432	blue mans shirt
433	girls head far right
434	boy sitting by man in blue
435	bright blue object bottom middle
436	guy in blue
437	lady standing on left
438	top left
439	book guy is point to
440	people
441	woman's face
442	beer by elbow
443	yellow drink on far left
444	the man with the finger in his ear
445	the guy's face on the right
447	left person
448	martini class in center
449	sky
451	bottom
452	trees
453	the tiny trees
456	lamp post left
459	statue
460	floor bottom middle
463	cloud top left
464	hills on the side of road
465	people
466	sky top
467	sand front only
468	heaven
469	brown wall middle left
472	left
473	bench to the rt of left car
476	brown tree lower left
477	tree center top
478	white car on right
480	the bush on the upper right side of the bench
481	white swirl gate in bottom middle
482	a lampost
483	white buildings
487	green tree in back
488	lady
490	wood wall right
491	bed
493	log people are sitting on
499	the clouds
501	any person
504	mountain right
505	blue sky
507	huts
508	person standing in back
509	house
510	clouds
511	the white car on the right
512	grass
513	right tree
514	blue sky
516	left tree
518	sky
519	street
520	rightmost tree
521	big building
522	snow tree center
523	snow right
524	tree leaves or bush leaves on the left
525	tree
526	the tree
527	tree trunk right
528	tree trunk
529	wood
530	trees bottom right
531	blue house in middle front
532	sky
533	center bottom building
534	colorful group of houses
535	blue green building on left
537	building with red roof blue walls
538	bottom right white
539	light blue teal left
540	any of the red yellow and blue buildings on right
541	blue building in center
542	middle building red roof white blue wall
544	any cow
545	flock of animals
546	sky
547	trees right
548	grass in front
549	any cow
550	cactus in front
551	lady
552	cacti on the right
553	sky
554	small patch of grass lower right
555	dirt
556	the building
557	door
558	open sky
559	rt tree
560	small building on right
561	the house
562	trees left
563	bottom left
564	boat on the left
565	blue tarp thingy lower right
566	any person
567	cloud top middle
568	boat nose on left
569	water
570	left raft
571	kayak front left
572	the raft the lady is on
573	the back boat
574	mountain anywher
577	empty pavement bottom right corner
578	buildings outside
579	ceiling
580	person front
581	orange
582	women
583	im on mturk too but do we get paid after we lose the two people on the right
584	wooden crates lower center-ish
586	rocks
587	bottom sand
588	sky
592	cloud left
593	building on far left
594	the large cloud on the left
596	top most white cloud
597	tallest building
598	road bottom middle
599	the steeple
600	bldg
601	the road in the center of the picture
602	yellow sand
603	sky
604	chunks of land reaching into sea
605	peninsula
606	land jutting out into sea
607	island part in front
608	water middle left
609	people in red and green
611	person in black bottom right
612	white roof right side
613	hut on right edge
614	sky
615	roof of middle building
616	two huts in middle
617	man in black jacket grey pants
619	barn far left
620	very bottom right corner
621	girl
622	dirt front
623	horse
624	horse center 
625	rider on left
626	bottom rght brush
627	drink on table lower left corner
628	itty bitty cocktail on foregound
629	top rt
630	people
631	front right
633	beers at the far back of the table
634	2nd drink on the bottom left
636	glass in woman's hand in black first on the right side 
637	drink in ladys hand bottom right
638	bottom right girls drink
640	drink on table closest to guy
641	outline of the entire table
642	right green pole
643	the girls cup in the right corner
644	arches in the back left
647	bottles on bar on right
648	bottles at the left side of the guys head wearing white shirt
649	yellow stripes far left
650	sign
651	bottles top shelf left
652	drinks right
654	bottles beneath el catador sign
655	brick wall left side middle
657	group of people
658	top row of bottles to the left
659	on the right side the group of stuff on the bar
660	brick right
661	the yellow stripes on the right
663	leftest animal
664	water left
665	sky
666	llama in the middle
667	bottom anywhere
668	cloud
669	grass
670	dirt hill
671	bushb
672	the ground at the bottom of the image in the middle
673	tower of building right
674	hillside in background left side
675	right flag
676	left building
677	trees far left top
678	top cloud left
679	statue
680	seat at the bottom
681	paved walkway
682	any of the bottom grass
683	sky
684	the front tire
685	the car
686	person
687	sand bottom right
688	sky
689	the group of rocks at the bottom right
690	rocks at bottom
691	very right bottom corner
692	bottom right corner
693	top left corner
694	rocks bottom right
695	waterfall
696	person
697	area on right side at bottom where rocks are
698	bus
699	bus
700	column on the left
701	bus
702	closest pillar
703	bus
704	left brown column
705	thr first pole on the left
706	5th column from left
707	bus 
708	sky top right
709	first post
710	fence
711	forth pillar 
712	third column from left
713	trees
714	bus
715	bus
717	fronmost pillar  - left side
718	building
719	brick pathway
720	pillar third from left
721	branch lower left
722	the stick part towards the right
723	the log acros screan
724	log at left
726	plan mural thing from the left after the log
727	snake
728	stick on righr
729	branch farthest left standing up
730	log
731	branch sticking to top right direction
732	brown stick far left
733	stick going diagnol on right
734	piece of wood sticking up diagonally to the right
736	lower left tree trunk
737	left vertical stick
738	right green part
739	bottom left
740	top
741	water
742	bench
743	dirt bottom right corner
744	leftest building
745	church on left
746	biggest building
747	sky
748	church
749	sky
750	grass lower left corner
751	big oval greens at bottom
752	large castle
753	building tall
754	large building on the left
755	dirt
757	sand bottom left
758	green
759	white stuff
760	sky
761	guy in yellow
762	the third person from the right
763	bottom half
764	girl in pink
765	the sky
766	very middle person fourth from right
767	left most prsn
768	bush on left
769	two hikers on right wearing yellow
770	third man in black from the left
772	bottom left
773	middle
774	the sky
775	green tree on left edge
776	grass
778	sky
779	buildings
780	lamppost
781	tress on right any
782	sky
783	the hill to the right
785	left small building
787	tree on irhgt
788	ground to either side of people
789	the building to the right
792	center statue
798	green jacket on chair left 
800	chair left bottom
801	green jacket on chair
802	tip of candle closer to pic
804	the man at the end of the table with the creepy smile
806	bottom right corne
807	the bottle that is holding the candle closest to us
808	man in the back with red shirt
809	left candle
810	there are two brown bottles close together near the man in olive it is the bottle to the left
812	plate of unattended food on left
813	black bottle on the square table
814	bottom right blue
816	green jacket on back of chair on the left
817	white sign
820	green jacket on left
821	table
822	nearest white candle
823	blue coat bottom right
824	the brick wall
825	salad
826	blue thing bottom right
828	bottom middle floor
829	plate of food bottom left 
833	blue jacket over back of chair in bottom right corner
834	guy in grey shirt turning around
836	water
837	grass
838	group
839	top right cofrner
840	guy by plane door
841	people left
842	cone left
843	orange cone
844	mountains
845	plane
846	the person directly in the center
847	ground lower left
848	mountain
849	tree in right corner bottom
850	bottom left corner
851	sky
852	sky
854	plane
855	pavement
856	brown hills
857	man front right
858	hat on guy in back second fromleft
859	camera on leftmost person
860	hat to the person on the farthest left
861	any
862	people
863	hat of the 2nd man from the left
864	the man's hat man second from left
865	building right
866	bottom left corner ground
867	very top of photo
868	yup
869	fence right
870	sky up top
871	window on right
872	top full window with 2 panels
873	window top far right
874	anywhere on the building
875	top left window
876	fence bottom left
880	very top right window
881	window half off screen far left middle
882	tree top right
883	mid center window
884	3 windows on the right top
885	sky
886	the boat
887	waterfall
888	bottom
889	big black mountain left
890	the big rock
891	rock on right
892	people
893	sky
894	rock right
895	rock on the bottom left the bottom
896	bottom right corner
897	sky
898	rock on the right
900	white shirt all the way left
901	top right guy
902	the 3 guys in the trench digging
903	person at the very bottom
904	any dirt middle
905	plants on right
906	top left
907	guy with brown coat top of hill on right
908	dirt in middle
909	nightstand on right
910	bed
911	the left window
912	left nightstand
914	wall
915	small peice of wood floor on the right
916	right nitestand
917	woman facing camera in far left
918	person on far right
919	click the guy on the left - he has spiders in his backpack
920	luggage closest to the right
921	the greenish bag to the left on the ground
922	bottom right corner
923	lady in white far right
925	the lady in the red sweaters backpack
926	bag on lower left
927	door right
928	lady in red top
929	luggage on cart towards right
931	that tree in the middle beside the grass hut
932	botom left
933	tree on left
934	slim patch of trees/greenery on left edge of picture
935	trees on right
936	white sky
937	bottom bottom
938	fencing at the bottom left
940	1st full building on left
941	path bottom right
942	grass very bottom left side
944	table on bottom
945	lady
946	his face
949	back window
950	green apple
951	window right
952	blue thing on table
953	man on top
954	thing guy is holding
955	lady face
956	man by front tire sitting
958	sky
959	guy right crouching
960	truck
961	guy by front tire
962	trees  to the left
963	crouching guy on right
964	shirtless man near front tire
965	man shirtless sittind down o
966	shirtless right guy
967	ground
968	man on left with blue pants
969	guy changing tire with no shirt on righty
970	person on right
971	person to right fixing wheel
972	bottom chair
973	small roof area right top area-looks rust color
975	blue hat near right
977	party hat of guy holding cake
978	greenery very top on the right side
980	green thing right to the most right head
981	stone arch
982	the hat the lady in the blue sweater and khakis is wearing
984	the hat on the woman all the way to the right
985	gray patch of wall on bottom right
986	all way to left whats on his head
988	cake
989	bottleon the right hand side click the left one
990	blue party hat on the right
991	the hat on the man in the back row 3rd from right
993	green hat on red thing at left
994	hat on lady far right
995	group of people
996	chair on left you can barely see it
997	red balloon left
998	top left corner
999	bottom right bottle
1000	hat on the second man from the left
1004	people sitting
1005	bottom tile
1006	standing kid with arms spread out
1008	mesh junk on top right
1010	orange bottom middle
1011	bottom left corner
1013	fish
1015	right man
1016	man on the left
1017	sand in betwen dudes
1019	palm tree
1020	grass
1021	water
1023	top left corner
1024	floating in the water
1025	clouds
1026	tall building
1027	church tower
1028	pavemen
1029	tower
1030	the building
1031	pole of sign
1032	black car closest to us
1033	the tree on the right most area of picture
1035	sidewalk around the tree
1036	car on left
1037	sky
1038	top of church
1039	buildiong
1040	tree on front right largest one
1041	left patch of green
1042	black on right
1043	blac
1044	center of pic
1045	green stuff on right
1046	any of the city buildings on the left
1047	sky
1048	the city on the bottom right 
1049	black hill far right
1051	black on right
1052	first window
1053	2nd window from left
1054	rt top corner white part
1055	front person
1056	train
1058	snow
1059	3rd window from left
1060	koala
1061	koala
1062	koala
1063	tree branch on the bottom right
1064	koala
1065	koala
1066	koala
1067	awww koala
1068	face of man right
1069	tree that koala is in
1070	water bottom right
1071	sky
1072	very middle man
1074	water
1077	sky
1078	purse bottom
1079	green foliage
1080	animal
1081	woman
1083	left sky
1085	girl on far right
1087	girl left
1090	very bottom
1091	building on the right
1092	sky on right only
1093	two people together blue and black shirt to left
1094	fountain
1095	far left building
1096	girls in middle
1097	cannon thing
1100	sky
1101	building on left
1102	pine tree
1103	any part of grassy area
1104	brown pillar to far right
1105	top right animal
1106	the dark seal on the right
1107	far left seal
1108	animal to the right on top rock
1110	bottom middle
1111	animal looking up in center
1112	rocks
1114	sky
1115	seal on most right
1116	top pic high center
1117	that weird spider machine that's on the top right
1118	ground left
1119	white paper on wall
1121	words on the wall
1124	tiny drawing of house at top
1125	lego toy
1126	old guy
1127	picture left top
1128	drawing of house top center
1129	right kid
1130	desk
1131	picture of a house hanging on the wall
1133	kid left
1134	people
1135	yellow dirt right
1136	mtn
1137	green sign face in the middle
1138	person all the way left
1139	rocks
1140	sky
1142	man on left
1143	church
1144	you were right! of the 3 in front man on the far right
1146	the man in the very front
1147	person left side yellow shirt
1148	person on left
1150	yellow shirt dark pants facing left botton center
1151	person in yellow on the right
1153	person on left in front
1154	tree middle
1155	running guy forground
1156	yellow top person
1157	yellow building on right
1158	yellow shirt to the right
1160	building right near yellow one
1161	3 guys in front the guy on the right
1162	sky
1163	sky
1164	white car on left in distance
1165	man in sillouete
1166	bottom left ground
1168	yellow shirt right
1169	sky
1170	bottom right
1171	sky
1172	3 people at front- far right
1174	person
1176	clouds
1177	left bottom corner ground
1178	ground
1180	sky
1181	truck
1183	brush on right
1184	dark brown horse facing front on the left
1186	the darker horse facing us
1187	horse of man on left
1188	red house right side
1189	left man on horseback
1190	horse on left with the guy riding it
1191	right building
1192	left rider in black 
1193	house farthest right
1194	front donkey on left
1195	the horse with a rider on the left
1197	horse far right
1198	building on right
1199	the thatch roof in the center to the back
1200	hut on the left
1201	first horse with rider on left
1202	horse front left
1203	person on horse to the right
1204	sky
1205	horse middle p on top
1206	foremost horse
1207	horse being ridden facing the camera
1208	horse to far left
1209	ground
1210	hut in middle background
1211	guy on far left in white
1212	building on right
1214	front donkey
1216	the stuff in the sack
1217	tree mulch
1218	peanuts only
1219	beans
1220	wall
1221	what's inside the bag
1222	beans in the bag
1223	the bottom of the image
1224	guy in middle
1225	sky top left
1226	holla! statue in middle
1227	in camo
1228	doorway looking area left side
1229	girl on right
1230	bush
1233	middle
1234	patch of grass on left
1235	walkway
1236	sky
1237	grass to right
1238	tree on right
1239	trees on the far left
1240	guy pointing hand at left
1241	half body
1242	the man's hand covering his face on the left
1243	left person
1244	woman's left hand
1245	woman center
1246	flamingo on left looking fight
1247	flamingos on right
1248	water
1249	whole group on the right
1250	trees in background
1251	sand that they're standing on
1252	flag 
1255	snow on the left
1258	sky
1259	people
1260	sky
1261	people oin middle
1262	sand front bottom
1263	blue jacket left
1264	right
1265	small window 2nd story
1266	any part of the building
1268	the bush with yellow flowers middle bottom
1269	plant all the way to the left bottom
1270	left side flower
1271	the green plantpot on the left bottom
1272	bush bottom middle
1273	bottom left bush
1274	pathway to the door
1275	rose bush on left
1276	small upstairs window on right
1277	bottom middle bush
1278	window on right on the 1st floor
1279	bushes front 
1280	plant in the middle very bottom of picture
1281	top right window
1282	the plants in the hall on the right
1283	pink flowers left
1284	small top window
1285	dark area at end of path
1287	narrow window on left wall
1288	group
1289	dirt bottom
1290	sky
1291	plane  on left
1292	mountain range in distance
1293	water
1294	buildings
1295	sky
1296	short trees on left
1297	sky
1298	the object in the very center of the picture
1299	right side building
1300	tall palm tree on right
1301	palm trees leaves on the right
1302	palm tree on in the middle
1303	top right corner: tree
1304	building with all the windows on the left
1305	bush looking area on bottom right
1306	partial tree rt top
1308	fountain lower middle
1309	ground that has spiders
1310	old lady in orange
1311	fountain
1312	man
1313	kid red shirt
1314	person standing see a lot of white shirt
1315	you're like potato salad mtg clouds on the right
1316	ground bottom left
1317	guy on left in black and jeans
1318	sky on right
1319	left side clouds
1320	people in middle
1322	ground on the right
1323	kneeling with brown hair
1324	person white shirt open jacket
1325	guitar
1326	middle left person
1327	snow
1328	person
1329	cloudy
1330	group of people in center
1331	what they are standing on
1332	sky
1333	2 guys close on the left
1334	bottom right area tallest person in white
1335	people lower right corner
1336	mtn
1337	hat of boy closest to us
1338	left standing person
1339	click very top of the pic
1340	little table peeking out on far left
1342	clock
1343	white paper on desk
1344	yellow area near top
1345	left part of desk of kid in green hat on bottom right
1346	lower right green thingy
1347	metal stand on far left half way down near the man in black shirt
1349	desk guy in black back left is leaning on
1350	any person
1351	desk by white paper
1353	window on rt
1354	blackboard
1355	bottom left corner
1356	brick wall in left top of woman 
1357	any person
1359	people
1361	floor front
1362	click the top right corner
1363	columns
1364	left up
1366	white hat on luggage
1368	clouds
1369	water
1370	rock on bottom left
1371	rock in front
1372	bushes
1374	land mass in background
1375	man
1377	patch of white top left
1378	water
1379	any part of the roof
1380	tree to the left in distance
1381	sky
1382	fence bars
1383	trees right
1386	person
1389	2nd floor wall
1390	the picture on the right
1391	plants on left
1392	right top column 
1393	bottom tree
1395	2nd floor pillar on right
1397	pillar in the upper right
1398	top pillar on the right side
1399	middle lamp thingy hanging upside down
1400	very top of ceiling edge
1401	the bottom corner pillar
1402	left window picture on wall
1403	the bottom cement of the pillars
1404	corner pillar bottom floor
1405	top
1407	mid/top of pic  box 
1408	edge of second floor bottom of fence
1409	gate
1410	upped middle pole column
1411	green plants along verandah middle right
1412	hanging plant on left
1415	mountain top
1416	water on right
1417	sky top right corner
1418	water left side
1421	people
1422	water on the right
1423	any area outside
1424	lamp on wall closest to us
1425	bed
1427	top left corner
1428	picture wall left side
1430	top left
1431	just the wall with the pic
1433	caged light or whatever on right
1434	bottom right dirt
1435	man in the back
1436	middle sand
1437	upper left shrub
1438	the water
1439	right
1440	right boat
1441	any left bird
1442	trees in background
1443	sky
1444	left birds are the word
1445	sand
1446	green snowboard the lady in middle is holding
1447	blue board in middle 
1448	green floating board
1450	people
1451	green board in center
1452	skateboard left
1455	sky
1457	bed
1458	desk
1459	lamp
1460	wall
1461	wall
1462	nightstand
1463	lamp
1464	the bed
1465	last guy on right
1466	right person
1467	man most left 
1468	waterfall right corner
1469	man 2nd from right
1470	man 2nd from left
1471	green upper left
1472	person on right
1473	water
1474	hedfglk
1475	black rock area in snow
1476	thing on head
1478	center ice in the horizon
1479	the sky
1480	any snow area
1481	person
1482	left side of mound in back black spot
1486	strip of white center nearest the sky
1488	street
1490	sky
1491	the man standing in front
1492	dark cloud very top
1493	guy on left his backpack
1495	building on right
1496	building on left
1497	person on right
1498	hat of guy on left
1499	greenery
1500	red shirt
1501	guy in red vest
1502	mud at bottom
1503	man in red
1505	man with a leaf on his back
1506	red part of shirt
1507	far right person with peach shirt
1508	top left
1509	person
1510	girl's head
1511	page of book
1512	white napkin near guy's hand blends with table
1513	white hat on the left
1514	left hat
1515	orange hat
1516	the lady in funny hat
1517	lady with crazy color clothes
1518	face
1519	hand on left side
1520	womans hat
1521	hat on left
1522	hand bottom left corner
1523	white hat on man left side
1524	tan hat on man bent over
1525	car
1526	building back left
1527	road
1528	sky
1530	sidewalk right
1531	right bldg near car
1532	building on right in background (grey)
1534	the beige building on the front right
1536	building on left  very far end of end
1537	road
1538	dark green area
1539	right side girls
1540	anywhere on the mountain covered in trees on the left side
1541	sky
1543	rock bottom right
1545	person bottom right
1546	waterfall
1547	trees
1548	waterfall
1549	woman
1550	hat on woman
1551	blue backpack
1552	man in background
1554	sky
1555	there were 3 wierd dudes with their arms up! hehe sand
1556	right blanket
1559	buildings on the left
1561	sky without clouds
1562	ground in front
1563	clouds
1564	left tree
1565	person on rt close to us
1566	building
1567	right tree
1568	bottom right person
1569	roof on the far right
1570	right window
1571	sky right
1572	sign
1573	people sitting bottom
1574	people on the left
1575	rocks bottom
1576	window far left
1577	roof left side of photo
1578	top
1579	left tree
1580	bottom lft
1581	left closer lamp pole
1583	sky top left
1584	rt light
1585	bike wheels on right
1586	road
1587	edge of road bottom right
1588	upper trees
1589	person in front
1590	man right
1591	bushes bottom left
1592	bike of rider on left
1593	brown window like thing top right
1594	the light fixture hanging from the ceiling
1595	green middle
1596	left
1598	ceiling light
1599	blue door
1601	the pillar second closest from the left
1602	the wall on the right
1603	green grass lower left
1604	man left to the stairs of the plane
1605	runway
1606	sidewalk at bottom
1607	sky
1609	mountain on far right
1610	far left person or statue in center
1612	the man closest to the grass on left
1613	grass on right
1614	right person
1615	plane
1616	left window
1617	bottom left corner
1618	girl
1619	window top right
1620	girl
1621	right window
1622	right window
1623	right window
1624	blue wall
1626	girl
1627	right window
1629	lot of corners lol bottom left corner
1630	sidewalk left side
1631	right window
1632	sky
1633	cliff wall
1634	dirt
1635	red hill left
1636	any 1
1637	white on top
1638	the building
1639	top-most fruit
1640	fruit bottom left
1641	the light green unripe fruit that's big and in the center
1642	bottom right fruit thingy sorry pics werent loading
1643	pale fruit
1644	yellow fruit on bottom
1645	bottom yellow fruit
1646	the fruit second to the top
1647	palest fruit
1648	bottom yellow fruit
1649	lower middle left fruit (whitish)
1650	top fruit
1651	bottom yellow fruit
1652	upper yellow fruit
1654	tree trunk
1655	anywhere
1656	fruit yellow one on top
1657	upper cacao 
1659	big leaf on the left bottom
1660	grass
1661	left
1662	group of children
1663	bushes in middle very right
1664	building left
1665	right side
1666	bushes upper right corner
1669	tree near middle
1670	brick wall
1671	tree upper left
1672	hill upper left
1675	ball
1676	building in back on right side
1677	face
1678	windows
1679	man statue with teacup
1681	person
1682	bottom left
1683	wood floor outside
1684	the door frame
1685	sky in the doorway
1686	table that the state is on
1687	chair middle
1690	dome of building
1691	the tower of the palace
1692	top right corner
1693	statue
1694	the trees to the top right
1695	tree top right
1696	sky top left corner
1697	sky
1698	top right leaves
1699	right tree
1700	tree on the right
1701	trees on left 
1702	water
1704	couple
1705	sky
1706	vegetation on rock to left
1707	rocks part closest to water
1708	wooden floor
1709	rug
1711	the plant on the right
1712	group of people
1713	left chair agains side
1715	wall
1716	steps
1717	stupid sky
1718	box
1719	stocks
1720	any of the sign
1721	whole flight board
1722	entire thing
1723	click any red letters
1724	white in sky top left
1725	top right corner
1726	face
1727	boy
1728	white pillard to the right edge
1729	bottom right corner
1730	people
1732	leaves top right
1733	roof over people
1735	red bricks right
1736	sky
1737	h cats sign
1738	sky rt
1739	building anywhere
1740	door bottom left
1741	brown door on right
1742	2 panel door bottom
1743	brown window cover bottom right
1744	doors on right
1745	window wood shutters right bottom
1746	sky upper left
1747	window on 2nd floor far rt
1748	window in the middle
1749	windows on left
1750	tree abovc taxi
1751	car in the lower left corner
1753	tallest tree right
1756	first full palm on left
1757	palm
1758	sky
1759	the van in middle 
1760	second palm tree from right
1762	right light
1764	grass
1765	top right
1766	light
1769	woman
1770	chair she is laying on
1771	click that pale retards face
1772	hand
1774	snake
1775	face of boy with snake
1776	flag
1777	white pillar at the center
1778	building
1779	building
1780	building
1781	building
1782	building
1783	sidewalk
1784	building
1785	sky
1786	very bottom left
1787	the small person in the bottom left corner
1789	skyscraper
1791	sky
1792	grass in front on the right
1793	grass by lightpost
1794	grass right side
1795	grass mid right
1797	grass in front
1798	water
1800	grass on bottom of pic
1802	building
1804	clouds
1805	any flag but the first one
1806	the first flag in the middle
1807	sky
1809	any face
1810	trees
1811	group
1812	group of people
1814	what the people are standing on
1815	people
1816	people
1817	the entire group of people
1819	sky
1820	sky
1822	sea
1823	the sky
1824	mountain
1825	the sky
1826	sidewalk 
1827	bldg right
1828	pick a dork any dork 
1829	guy on the far right
1830	lower left blue gray area
1831	red coat
1832	black shirt in middle
1833	yellow light center
1834	sky
1835	light left very bright
1836	rock wall
1837	rock
1838	person
1839	seal anywherre
1840	bottom right
1841	any of the seals
1842	bike right
1843	left bike tire
1844	right bike
1845	right bike
1846	red
1847	bike right
1848	left bike
1849	sky
1850	car
1851	road the bikes are on
1852	entire hill in background
1853	bike on left
1854	right bike
1855	bike on right
1856	man in blue
1857	left bike
1858	the guys bicycle
1859	bike on left
1860	left bike
1861	person
1862	brown sky right
1863	yep
1864	small sliver of white sky in the middle
1865	light blue sky patch at top left
1866	top right corner
1868	the table full of this womans sad hobby
1869	picture frame pair
1870	2 small pics in frames  left white table
1872	picture on the wall small frame
1873	lady & boy
1874	picture on wall left
1876	plant left side
1877	table
1878	window glass
1880	boy's face
1882	bottom left corner
1883	couch
1885	very top right
1886	lady
1887	folded cloth any
1888	people in middle
1889	far right face
1890	ceiling
1891	light in front on ceiling
1892	guy on right
1893	the two people standing together
1894	people at the trunk
1895	bike
1896	bike
1897	man on right
1898	guy on the right reaching
1899	right man
