,refexp
586,plafond supérieur
587,chaise en bas à droite la personne est assise dessus
589,l'une des assiettes sur la table
590,Char dos femme en bleu
591,dos de la chaise la dame proche en blanc est assise dans
592,mur
593,la fenêtre
594,rideau
595,lit de gauche
596,sol
597,lampe côté droit
599,tête de lampe gauche petite
600,cliquez sur la dame en chemise noire et jean bleu
601,seconde en partant de la gauche
602,les gens du côté droit
603,homme à gauche
604,mec blanc pâteux en short et pull
605,tissu à gauche gris et blanc
606,maison à droite
607,parapluie à droite
608,haut de l'arbre tiki droit
609,petit arbre vert sur la gauche
610,Ouais
612,femme
613,ciel
614,porte de la cabane côté droit
615,visage
616,bâtiment central
617,ciel
618,palmier à gauche
619,le béton gris au premier plan
620,arbre de droite
621,arbre à droite
623,Gros rocher
624,ciel
625,homme
626,falaises au soleil sur la gauche
627,eau au milieu devant
628,Le ciel
629,fond de l'océan
630,arbustes à gauche sur falaise
631,sacs à dos en premier plan
632,sommet de la montagne centrale
634,toute personne
636,gauche aux gens
637,sol
639,l'eau
640,centre aquatique de l'image
641,l'eau
642,centre aquatique
643,coin en bas à gauche
644,plan d'eau
645,centre d'eau
646,milieu de l'eau
647,ciel
648,Lac
649,arbres autour de l'eau
650,collines à l'arrière
651,en bas à gauche
653,personne
655,centre aquatique
659,océan
660,l'eau
661,l'eau
662,l'eau
663,pierres empilées côté droit
664,l'eau
666,mur jaune
667,mur marron clair
668,lampe haut rt
669,mur
670,l'eau
671,mur marron clair à gauche
672,plafond en bois
674,paroi jaunâtre côté gauche
675,siège après le siège blanc
676,mur jaune à gauche
677,mur d'immeuble
678,sol
679,palmier
680,court long mur
681,chaise côté gauche
684,voiture de couleur marron doré
685,arbre nu
686,neige
688,camion blanc
689,voiture blanche en bas à droite
690,côté gauche troisième voie u[
691,rue
692,arbre
693,clocher
694,arbre à gauche
695,ciel
696,voiture bleue
697,voiture rouge
698,le grand truc blanc en forme de pénis
699,assez bien
700,l'eau
701,radeau
702,fleuve
703,Pardon! arbres verts
704,l'eau
705,l'eau
706,l'eau
707,groupe de personnes en bateau
708,rochers
709,rocher noir à droite
710,eau n'importe où
711,fleuve
712,guide de radeau (gars à l'arrière du radeau)
713,ruines
714,herbe en bas à gauche
715,le coin supérieur droit
716,fille en pantalon rouge debout
719,nuages ​​oranges
720,coin supérieur gauche
721,arbre
722,animal de gauche
723,mi cheval
724,trou de ciel bleu
725,des nuages
726,(maman) aussi c'est le cheval au milieu
727,cheval à l'extrême gauche
728,gazon
729,homme à droite
731,deuxième personne la plus à gauche
732,première personne à gauche
733,camionette
734,homme en bleu
736,l'eau
737,vélos sur camionette
739,deux gars près de camionette
740,vélos sur camionette
742,ciel
743,zone herbeuse tout à droite à côté de camionette
744,la montagne arrière du milieu à gauche
745,bas
747,fille à gauche
748,ciel
749,visage de fille à gauche
751,rocher à gauche
752,fille droite
753,personne en arrière-plan à gauche
754,visage à droite
756,tête de personne portant le pull bleu et jaune
757,toute personne
758,adulte debout
760,montagne
761,ciel
762,bâtiment avant droit
763,les feuilles de l'arbre à gauche
764,les choses de la boîte colorée
765,grue
766,grand bateau blanc
767,bateau blanc
768,navire blanc
769,le navire au milieu blanc
770,navire le plus proche blanc
771,bateau avant
772,bateau supérieur
773,grand bateau blanc n'importe où dessus
774,l'eau
775,navire blanc
776,ville
777,long bateau blanc avec une chose pointue sur le côté droit
778,bateau principal au centre
779,bateau blanc géant
780,tri roche près des gens
781,les branches vaporeuses en bas à gauche
782,des arbres
783,flux
784,l'eau
785,filets
786,l'eau
787,ciel
788,montagne au sommet enneigé
790,l'eau
791,milieu de l'eau
793,l'eau
794,coin inférieur droit
795,arbres en arrière-plan
796,buissons en bas à gauche
797,tuile en bas
798,marches
799,arbre en haut de la photo
800,des arbres
801,feuilles d'arbre du milieu
802,chaise la plus proche
803,arbres au milieu
804,la moitié supérieure des arbres
806,le signe
808,montagne en arrière-plan difficile à voir
809,1649 numéros
810,trottoir en bas à droite
811,rocher gris à côté du brun en bas à droite
812,ciel
813,ciel
814,bateau gauche
815,bateau de fond
816,bateau plein d'hommes
817,bateau 1649
819,bateau avec des gens
821,une des 2 personnes dans le premier bateau
822,bateau - gauche en stationnement
823,droite bateau
825,comment vas-tu l'eau
826,bateau bleu dans l'eau à gauche
827,groupe de personnes le plus proche en bas à droite
828,truc rouge accroché au plafond // le plus éloigné / le plus à gauche
829,barres en bas au centre
831,luminaire en haut à gauche
832,les gens ont raison
833,banc en bas à gauche
834,colonne de droite
835,sol
836,Je ne peux pas dire oui/non je dois juste deviner
837,les gens en bas à droite
839,lumière argentée suspendue à gauche
840,groupe de personnes à droite
841,lampe suspendue en haut à gauche
842,filles à table en bas à droite
843,ciel éblouissant blanc haut
844,lampe rouge à droite
846,chaise avant à peine visible
848,table avec bol
849,grp de personnes à gauche
850,cendrier
851,luminaire en haut à gauche
852,lumière blanche brillante au centre/en haut à droite
853,groupe de personnes sur la droite
854,arbre à gauche
855,arbre de gauche
856,sol au bas de la photo
857,arbre à droite
858,arbre de gauche
859,arbre du milieu
860,ciel en haut à gauche
861,arbre à droite
862,arbre à gauche
863,arbre le plus à gauche
864,arbre à gauche
865,arbre bord droit du cadre
866,arbre de droite
868,toute personne
869,personne loin rt
870,personne en chemise rouge dans l'expéditeur de la photo
871,Le ciel
872,personne de gauche
874,deuxième à partir de la gauche chemise noire dame
875,fenêtre orange gauche
876,draper
877,fenêtre à l'extérieur
878,machin blanc au lit
879,lit
880,fenêtre jaune gauche
881,fenêtre avec rails
882,fenêtre à gauche
883,fenêtre dorée à gauche
885,fenêtre jaune gauche
886,fenêtre à gauche
887,fenêtre la plus à droite qui est en or
888,la fenêtre à barreaux
889,fenêtre jaune gauche
890,la fenêtre
891,n'importe où sur le mur à droite du rideau
892,fenêtre du bas deuxième en partant de la gauche
893,ciel en haut à droite
894,quatrième fenêtre au niveau inférieur deuxième à la dernière
895,fenêtre en haut à gauche
896,la deuxième fenêtre en partant de la droite en bas
897,fenêtres du bas deuxième à partir de la gauche
898,fenêtre en bas au centre deuxième marron en partant de la gauche
899,deuxième fenêtre en haut
900,troisième fenêtre à partir de la rangée du bas à droite
901,première fenêtre pleine à gauche
902,deuxième fenêtre en bas à gauche
903,fenêtre au dernier étage deuxième à partir de la droite
904,imeuble
905,fenêtre du bas tout à droite
906,fenêtre du milieu en haut
907,coin inférieur gauche
908,flux
909,cascade
910,ciel
911,très haut au milieu
912,océan
913,sol gauche
914,roche shes debout sur
915,visage
917,manteau bleu
919,paroi rocheuse au milieu à gauche
920,le coin supérieur droit
921,personne à droite (désolé la dernière image était cassée)
922,mur de pierre à l'extrême gauche
923,gauche des trucs gris
924,arbre à gauche
925,table de billard
926,mur de pierre à l'extrême gauche près de la veste bleue de la fille
928,sol
929,herbe au soleil à gauche
931,des nuages
932,dessus de la table
933,table de pique-nique
934,table de pique-nique
935,table de pique-nique
936,table de pique-nique
937,banc
938,herbe à droite
939,table
940,table de pique-nique
941,la zone au-delà du village le haut
942,marches au premier plan
943,homme dans la main gauche de la chemise rouge
944,visage de femme
945,la fille
946,homme
947,visage de fille
948,mec dans des lunettes d'araignée cool
949,visage de mec
951,chose blanche en bas au centre
952,bouteille d'eau près de la fille
953,pain en paquet
954,assiette que le gars cherche
955,pain à droite
956,vert ananas
957,objet que l'homme dans le gris cherche
958,parties de table sans trucs dessus
960,bouteille de droite dans la rangée de trois bouteilles
961,homme en chemise bleu foncé près du centre de son assiette
962,bouteille de pepsi bleu
965,des arbres
966,bouteille d'eau fille à manches courtes
967,première bouteille à droite
968,les personnes
972,la bouteille d'eau au fond à gauche
975,océan
977,ciel lol
978,fille
979,fille
980,gens
981,soit un carré d'herbe
982,pavemetn
983,arbres à gauche
985,monuments au milieu
986,colline de gauche
987,chose avec le e
988,très ciel
989,l'e
991,collines à l'arrière
992,règle de mtg !!! rocher en bas au centre
993,la ligne de pierres en bas à gauche
994,ciel
995,Le coin inférieur droit
996,personne à gauche
997,2 groupes de personnes sur le côté droit
998,bas du poteau blanc à l'extrême droite
999,le truc du bâtiment
1000,tablestand hatstand chose en bas à gauche
1001,chaise
1002,chapeau sur les genoux de l'homme
1003,chapeau par terre
1004,chemise blanche
1005,petit garçon à gauche
1006,tout ce qui est accroché en haut à gauche
1007,chapeau à gauche sur une chose en bois
1008,plaque en bas à droite
1009,première assiette de nourriture à gauche
1010,vous pouvez voir la pointe toucher le bas de la fenêtre
1011,la fenêtre
1012,personne du milieu à droite
1013,mec à gauche dans des verres
1014,deuxième bouteille en partant du haut
1016,gars à l'extrême gauche dans des verres
1017,face arrière gauche
1018,coin inférieur gauche
1019,assiette de pain côté gauche
1020,mickey
1022,verre à vin à droite
1023,personne au centre à l'arrière
1024,bouteille transparente en bas au milieu
1025,personne en bas à gauche
1026,verre à moitié plein très bas au centre
1027,homme avant gauche avec des lunettes
1028,le seul et unique homme qui te regarde directement
1029,le coin supérieur droit
1030,image jaune sur le bord supérieur
1032,mec devant à gauche
1033,coin supérieur gauche
1037,Le coin inférieur droit
1039,des nuages
1040,eau en bas à gauche
1041,herbe au bas de l'image
1042,lamma noir
1043,milieu du ciel
1044,chose multicolore lllama alpaga
1045,gros homme regardant le bas de la caméra
1046,mec devant la caméra centrale
1047,mec au centre en blanc sans manches
1048,personne noire
1049,mec noir au milieu
1050,partie rouge du mur
1051,mec en t-shirt blanc tourné vers la gauche
1052,débardeur blanc/ pantalon noir
1053,gars avant gauche en rouge
1054,tambour rouge en bas à gauche
1055,le tambour doré dans les mains des chauves en bas de la photo
1056,les gens en arrière-plan premier niveau
1057,t-shirt blanc en bas à gauche regardant en arrière
1058,homme noir avant centre
1059,gars chemise bleue tambour
1060,coin supérieur gauche
1061,black en débardeur blanc au centre
1062,batteur en rouge avant gauche
1063,mec en bas d'une chemise grise tache chauve sur la tête
1064,ciel
1065,route
1066,short rouge tshirt blanc kapow !
1070,droite personne
1071,le visage de la femme au centre
1072,visage gauche
1073,verre à boire clair
1074,visage d'homme
1075,coin supérieur gauche
1076,homme (rt) avec haut noir
1077,voiture du milieu
1078,gauche gauche voiture
1080,milieu de voiture rouge
1081,voiture devant
1082,jeep
1083,voiture rouge au centre
1084,bas
1085,lama devant
1086,grand devant
1087,herbe en bas
1088,animal
1089,animal en arrière seconde à partir de la droite
1092,lama
1093,animal au fond à droite à côté de la tête de l'animal le plus proche
1094,Wow! lama
1095,lllaaaaaamaaaaaaaa
1096,animal à l'avant
1097,je veux dire son bras droit
1098,ciel
1099,montagne dans l'eau côté gauche
1103,un morceau de terre à gauche s'aligne avec l'épaule du gars
1105,eau côté droit des fesses des gars
1106,mec
1107,petite tache verte coin gauche
1108,homme
1110,en bas à gauche
1111,Est-ce qu'elle étreint le ciel de chose
1112,le plus grand catus
1113,arbuste
1114,coin inférieur gauche
1115,ciel
1116,sommet des formations rocheuses
1117,ciel lol
1118,eau au milieu à droite
1119,eau tout à droite
1120,ciel
1121,troisième arbre en partant de la gauche
1122,arbre dans l'eau
1123,l'herbe au premier plan
1125,buissons à droite
1126,hautes herbes à gauche
1127,frigo
1128,mur en bas à droite
1129,frigo
1130,le pot avec les légumes blanc verdâtre
1131,frigo
1132,femme
1133,mec en chemise bleue
1135,les sommets des montagnes ou peut-être ceux-là sont des nuages
1136,montagnes
1137,ciel supérieur
1138,route droite
1139,arbres à droite
1140,plaque de béton tout le long à gauche
1141,bâtiment plus court
1142,bâtiment le plus à gauche
1143,ciel
1144,roches à droite
1145,en bas à gauche
1146,le rocher au milieu
1148,rocher en bas à droite
1149,chaîne de montagnes à l'arrière
1151,groupe de roche le plus à gauche
1152,grande formation rocheuse au milieu
1153,le trottoir vers le bas
1154,palmier à l'intérieur du cadre
1155,ciel rt
1156,sable
1157,herbe sur le côté gauche
1158,ciel
1159,personne d'extrême droite
1160,colline à l'extrême droite
1162,homme à gauche
1163,femme au centre avec veste rouge dans les bras 
1165,homme à droite
1166,deuxième personne à gauche
1167,pilier le plus à gauche
1169,pôle gauche
1171,pot près du poteau extrême droite
1172,façade blanche
1173,pilier le plus à gauche
1174,le porte-plante le plus à droite
1175,quatrième pot en partant de la droite
1176,clôture verte
1177,seule pot clair vers le milieu
1178,pot de plantes à l'extrême droite
1180,pot rouge à gauche
1181,plantes à l'extrême droite
1182,pot sur baclony extrême droite
1183,colonne supérieure du milieu
1184,colonne de gauche
1185,pot le plus à droite pour plante
1186,pot de fleurs à l'extrême droite du balcon
1187,pôle droit
1189,pot tout à droite
1190,pot sur le bord droit
1191,plante à gauche
1192,la plante à droite
1193,le quatrième pot de fleurs en partant de la droite
1194,pôle gauche
1196,haut n'importe où
1197,pot le plus à droite près du bord de l'écran
1199,mec à l'arrière en blanc
1200,zone noire à droite
1201,ciel
1202,quatre personnes à gauche
1203,groupe de personnes à droite
1204,balustrade
1205,sol vert
1206,sommets des collines
1208,sac à pied bleu clair
1209,porte grise à gauche
1211,toit du plus haut bâtiment
1212,montagne
1213,arbre côté droit
1214,quatre fenêtres d'affilée au deuxième étage à droite
1215,fenêtre la plus à droite
1218,vitres sur la maison bleu clair à gauche
1219,deuxième toit en partant de la droite (plus haut que l'extrême droite)
1221,les fenêtres du bas de la maison verte
1222,toit le plus bas à gauche
1224,voiture en bas à gauche
1225,voiture jaune
1226,troisième toit (bâtiment aux fenêtres brunes)
1227,toit le plus haut
1228,centre du toit le plus élevé
1229,voiture jaune
1230,voiture jaune
1231,immeubles
1232,sur la plupart des toits
1233,aucun soin mais le ton gauche
1234,toit de bâtiment vert
1235,voiture jaune
1236,fenêtres du deuxième étage d'un bâtiment écologique
1237,voiture jaune
1238,voiture jaune
1239,premier jeu de deux fenêtres à l'extrême gauche
1240,la fenêtre
1241,mur
1242,lit
1243,sol éclairé par le soleil au pied du lit
1244,rideau
1245,fleurs roses
1249,fille en bleu
1250,maison à droite
1251,animal
1252,muret à gauche
1254,allée à l'extrême droite
1255,ciel supérieur
1256,bas
1257,bateau
1258,personne dans l'eau
1259,gens
1260,l'une des deux filles les plus proches du tableau à gauche
1262,livre bleu sur table
1264,petite tête fixe devant
1265,chapeau rose chemise bleue bas milieu
1266,papier bleu au bureau
1268,visage d'enfant regardant la caméra
1269,fenêtre de droite
1270,livre bleu sur table
1273,porte lumineuse
1274,personnes debout au tableau n'importe lequel d'entre eux
1276,jean homme debout et t-shirt noir
1277,livre par étudiant avec chapeau rose
1278,chapeau vert à l'extrême droite
1279,fille dans le coin inférieur gauche avec chemise violette et bandeau blanc
1280,bascule du côté droit
1281,ciel à gauche
1282,le panneau vert dans le coin droit
1283,panneau
1284,carte
1285,zone médiane très à gauche
1288,panneau avec carte de la plage
1289,panneau
1290,cette panneau
1291,panneau
1292,choisissez un frère
1293,toit en bois
1295,mur bleu vierge en haut à gauche
1296,fenêtre grosse bite
1297,enfant devant
1298,les fenêtres
1299,ciel droit
1300,partie du sol en bas à gauche
1301,la fenêtre
1302,la fenêtre
1303,la fenêtre
1304,gars gauche chemise blanche
1305,coin très très bas à droite
1306,personne du centre
1307,bâtiments à gauche
1308,homme à gauche chemise blanche
1309,signe avec lettrage bleu sur la gauche
1310,panneau noir sur le bâtiment de droite
1311,avant en bas de la route
1312,droit de construction
1314,homme à gauche portant une chemise crème
1315,bâtiment central bleu/violet
1316,groupe de personnes à droite (avec un gars en chemise orange)
1317,ciel
1318,les gens à vélo à gauche
1319,arbres en bas à gauche
1320,Lac
1321,maison
1322,la zone vert clair vers le bas est bordée de petits arbres
1323,infime partie du ciel en haut à droite
1324,arbres verts et forêt à droite
1325,montagnes
1326,des nuages
1327,route
1328,zone herbeuse en bas au milieu
1329,buisson à droite
1331,sol
1332,montagne
1333,buisson à droite
1334,n'importe qui
1336,montagne Verte
1337,ce qu'elle tient
1338,chose en bois à l'extrême droite
1339,femme
1340,paille autour de la femme
1341,clôture bleue sur le côté gauche
1342,échelle
1343,chapeau
1344,ciel
1346,le champ
1347,en haut à droite
1348,Roche
1349,le phoque
1351,chemise bleue à gauche
1352,toit
1353,minuscules verres sur bar
1355,personne à droite
1357,bouteille au centre
1358,table
1359,la plus grande plante proche du centre
1360,coin inférieur droit des images - pinceaux
1361,grande plante la plus proche à gauche
1362,terrain devant
1363,sol
1364,aucune des personnes
1365,ciel sans nuages
1366,cabane à gauche
1367,nuages ​​à gauche
1368,cabane à droite
1370,chaîne de montagnes
1371,milieu tp
1373,lit à droite
1374,des murs
1375,chose sur la table de chevet
1376,photo
1377,lumières
1378,lit à gauche
1379,chaise en bas à droite
1380,sol
1381,sol
1382,camionette
1384,zone du sentier en bas de l'image
1386,gens
1387,route
1388,ciel
1389,motard
1390,voiture
1391,en bas à gauche sur la tuile
1392,tu veux acheter des cookies scouts
1394,bonnet droit
1395,la porte tout au fond
1396,plafond
1397,sombrello
1398,casquette
1399,chapeau noir de l'homme avec verre noir au fond
1400,chapeau à droite
1401,la partie blanche vide du siège à gauche
1402,chapeau bleu à droite
1404,le bois en bas à gauche
1405,casquette de baseball
1406,toute personne du groupe de personnes
1407,grand chapeau à gauche
1408,chapeau bleu sur mec en bas à droite
1410,le sac à gauche
1411,table
